QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7142857142857143,0.76,4.920467836257311,4.908571428571429,478,4.0,5.0,4.920467836257311,0.17635627438569135,5.0,5.0,5.0,53.21,14.2,10.3,12.24,13.9,9.57,12.875,12.2,16,9th and 10th grade,92.48,86.73,39.05,3.5,4.128262567893977
76378408,76378435,0.7719298245614035,0.8043478260869565,4.963963963963964,4.945454545454545,514,3.6666666666666665,5.0,4.963963963963964,0.16519683016147163,5.0,5.0,5.0,87.05,8.2,5.6,7.94,9.7,7.69,8.8,8.98,9,7th and 8th grade,116.48,112.69,46.22,1.4,2.6321953582038917
76378340,76378439,0.7666666666666667,0.83,4.975903614457832,4.966666666666667,606,4.733333333333333,5.0,4.975903614457831,0.06672953923072651,5.0,5.0,5.0,60.24,12.0,9.7,10.85,12.6,8.34,12.3,11.88,13,11th and 12th grade,97.05,94.95,41.41,2.8,1.9206665690909075
76378344,76378496,0.6231884057971014,0.6864406779661016,4.9448559670781895,4.94108527131783,658,4.466666666666667,5.0,4.944855967078189,0.10199121695249166,4.933333333333334,5.0,5.0,60.61,8.5,7.5,11.7,10.8,9.76,5.388888888888889,6.36,17,7th and 8th grade,99.93,97.53,41.05,2.4,3.556830008413911
76378323,76378505,0.7627118644067796,0.8091603053435115,4.979874213836478,4.973333333333334,733,4.733333333333333,5.0,4.979874213836479,0.056575814198865426,5.0,5.0,5.0,80.72,8.1,6.0,7.71,8.7,7.16,8.166666666666666,7.3,14,7th and 8th grade,112.62,110.02,47.33,1.7,1.6454690415295934
76378468,76378523,0.7450980392156863,0.7676348547717843,4.913513513513513,4.919298245614037,1350,3.466666666666667,5.0,4.9135135135135135,0.19780468715839214,4.866666666666666,5.0,5.0,78.79,8.6,6.7,8.7,10.2,7.19,6.25,7.99,26,6th and 7th grade,110.68,105.46,45.02,2.0,3.1582724459374543
76378419,76378558,0.7619047619047619,0.8391608391608392,4.88777777777778,4.8875,801,3.066666666666667,5.0,4.887777777777777,0.3047747599801986,4.933333333333334,5.0,5.0,69.41,10.0,8.2,9.57,11.7,6.73,8.333333333333334,9.01,13,9th and 10th grade,103.77,102.04,43.78,2.3,-0.05567741522764447
76383950,76384028,0.918918918918919,0.9393939393939394,4.963440860215054,4.968627450980392,357,4.133333333333334,5.0,4.963440860215054,0.15318712962157519,5.0,5.0,5.0,80.11,6.0,6.2,7.31,7.4,6.13,7.5,7.21,7,5th and 6th grade,112.01,109.16,47.83,1.7,0.49612967204631797
76380624,76380646,0.6666666666666666,0.71875,4.920772946859903,4.91965811965812,1638,4.2,5.0,4.920772946859904,0.15295635054675827,4.933333333333334,5.0,5.0,67.04,10.0,7.1,10.31,9.1,7.35,4.8,7.49,37,7th and 8th grade,103.89,99.31,43.18,2.4,4.230619999696184
76380600,76380785,0.7818181818181819,0.8018867924528302,4.934117647058825,4.919379844961241,546,3.066666666666667,5.0,4.934117647058824,0.29470164243620084,5.0,5.0,5.0,71.34,9.3,7.5,5.97,7.6,7.13,8.333333333333334,8.3,11,7th and 8th grade,105.7,104.88,49.93,2.1,0.9831993450549081
