,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.7508608678108141
vocab_coverage,0.7928000968941301
ave_readability,4.935519170593521
ave_readability2,4.923111994259427
length,737.918
min,4.011933333333333
max,5.0
mean,4.935519170593521
std,0.1676180250446489
q1,4.967366666666667
median,5.0
q3,5.0
FRE,66.88866
SMOGI,10.382400000000002
FKGL,8.1917
CLI,9.237440000000001
ARI,10.289200000000001
DCRS,8.106819999999999
LWF,9.37549168054168
GFI,9.47511
DW,19.301
TS,8.708
FH,102.4375
SP,99.44394
GP,44.277829999999994
CF,2.4266
NERF,2.582164507233681
