,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6765058748437122
vocab_coverage,0.7083057585583028
ave_readability,4.925207369558338
ave_readability2,4.915086916126729
length,1883.881
min,3.863897331982438
max,4.999594731509625
mean,4.925207369558338
std,0.18958753350274332
q1,4.9560790273556234
median,4.999392097264438
q3,4.999594731509625
FRE,14.154280000000004
SMOGI,11.539099999999998
FKGL,15.7005
CLI,101.92451999999999
ARI,119.0012
DCRS,12.33182
LWF,11.588742282554046
GFI,10.97813
DW,31.075
TS,13.799
FH,64.8521
SP,60.63943999999999
GP,-111.66770999999999
CF,5.138499999999999
NERF,3.877936740706803
