,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6328671572972305
vocab_coverage,0.6171463900507355
ave_readability,4.917766401790171
ave_readability2,4.91107405256901
length,1809.109
min,3.7429333333333306
max,5.0
mean,4.917766401790171
std,0.20725393809874237
q1,4.94420000000002
median,4.999533333333334
q3,5.0
FRE,44.19353
SMOGI,11.33680000000001
FKGL,11.06030000000001
CLI,16.48445999999999
ARI,18.538300000000014
DCRS,9.818189999999994
LWF,9.892133712039598
GFI,9.190159999999993
DW,35.726
TS,10.615
FH,86.70136999999997
SP,83.13707999999998
GP,31.90618
CF,3.529499999999998
NERF,7.21729463989662
