,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34507167075991874,0.03123183480783321,0.4092402102941974,0.16899400403038234
vocab_coverage,0.414328533088654,0.06818781775954379,0.42787475648976053,0.2014830261943507
ave_readability,0.3358576205461041,0.14512048066707456,0.48339861436955567,0.3530676349668352
ave_readability2,0.21978170946888492,0.11418870948114512,0.40384345327640453,0.26782178750418456
length,0.20331662964776673,0.056111852808006554,0.33459560178834674,0.029497385696046905
min,0.20322299781888456,0.10666542282061989,0.3722667427891403,0.2546707984085391
max,,,,
mean,0.33595029603084126,0.1452702399759604,0.4834559420786616,0.35311512333982575
std,0.30644934906196947,0.15193795605750574,0.46444763236474024,0.33686155920055194
q1,0.2632039464305018,0.08522671190608404,0.37983493518882444,0.26926322489845644
median,0.0472737590370219,-0.011675591444616133,-0.009301392154239653,-0.0089411656140374
q3,,,,
FRE,0.4227804518706151,0.06854654549478764,0.5025094848990416,0.30746615825366314
SMOGI,0.2745559648838505,0.0719778733300166,0.4277657428494706,0.2795528362408949
FKGL,0.383874427016929,0.06611174185783393,0.460378840246351,0.27945821397375104
CLI,0.47317885785446057,0.05893689007466869,0.5432292300863512,0.31177119357357364
ARI,0.35444417602391154,0.029674275844258538,0.4649895549858336,0.23505773150039666
DCRS,0.3221225237527889,0.06335199932027592,0.36098710557518054,0.1889019004193539
LWF,0.30043190427389826,0.08523003716030537,0.35197435700956475,0.24890501077780072
GFI,0.346821189436018,0.08984716406590001,0.41471222998697466,0.2522975718165149
DW,0.2623649857166233,0.11865496370294666,0.3980422379741821,0.1500975177501887
TS,0.2852983600314456,0.04520060228262305,0.3342552802088961,0.21013070079207974
FH,0.40966112842751395,0.06495005931607893,0.48823227186234314,0.2956218866491952
SP,0.4253785339567737,0.07317023458399322,0.48185962015944206,0.28045833235807255
GP,0.4461324467925549,0.04701173826078944,0.483597284479781,0.2530328400462781
CF,0.44689430074791964,0.09384103699781103,0.5403162364259281,0.33304864945288526
NERF,0.24541893615519295,-0.00913147669295934,0.35064292045861667,0.053447887428087905
