,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10518884863570505,0.1799648312340232,0.23176749422043222,0.26722470996903214
vocab_coverage,0.12130723287609738,0.21408958060750063,0.23788262578962138,0.2771705029066982
ave_readability,0.039034363922590604,0.04386997116151801,0.05516346510968095,0.057986270602225706
ave_readability2,0.03955207194008653,0.04404586692490197,0.04745217941336774,0.04962270095066097
length,1243.833,1405.247,4692.574,4125.301
min,0.569,0.6967741935483871,0.5481033091202583,0.6408038444735692
max,0.0,0.0,0.002259887005649716,0.004456094364351237
mean,0.03903436392259053,0.043869971161517994,0.05516346510968094,0.057986270602225685
std,0.0854851740178641,0.1043243705958571,0.10329677503964083,0.1154191663632334
q1,0.053300000000000014,0.05631720430107527,0.07897497982243747,0.08062472695500218
median,0.004699999999999992,0.0029233870967741893,0.016182405165456,0.021974661424202693
q3,0.000549999999999999,0.00038642473118279434,0.004701372074253424,0.010637833114897324
FRE,25.87793,32.89244,102.01919000000001,128.4116
SMOGI,3.5262,6.29,5.2518,6.4618
FKGL,4.575,5.5506,20.7634,23.7379
CLI,7.205679999999999,9.5999,27.969480000000004,36.782149999999994
ARI,8.7275,11.171700000000001,43.0079,143.8606
DCRS,2.10432,2.1217799999999998,7.640950000000001,9.230220000000001
LWF,5.570793091579417,6.203120692147922,7.593970170347477,9.577975254381695
GFI,3.65186,4.145519999999999,13.674080000000002,13.383329999999997
DW,19.856,23.558,20.383,22.141
TS,4.398,4.517,11.05,13.54
FH,19.190160000000002,24.152260000000002,80.02779000000001,97.84420000000001
SP,19.59676,24.477330000000002,74.49786,91.0153
GP,12.504700000000001,16.01782,50.705580000000005,62.93710999999999
CF,1.4206999999999999,1.9212,3.4964,5.0201
NERF,2.8949988845152066,4.782030113744171,11.766140665980076,11.815347470638244
