,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34507167075991874,0.03123183480783321,0.18294202028836062,0.10941828318873076
vocab_coverage,0.414328533088654,0.06818781775954379,0.19748663468717975,0.12261470142593646
ave_readability,0.33593860648664925,0.14522850564571216,0.5911385513601889,0.5174545556692325
ave_readability2,0.21994782005381144,0.11403424397292834,0.5108516959237601,0.4716986659230325
length,0.20331662964776673,0.056111852808006554,0.39999504219571164,0.31826861467792705
min,0.20322299781888456,0.10666542282061989,0.4613024022548871,0.41419488502086255
max,,,,
mean,0.33595029603084126,0.1452702399759604,0.5911497531659909,0.5174971703316019
std,0.30644934906196947,0.15193795605750574,0.5794570043525072,0.5044126147580498
q1,0.2632039464305018,0.08522671190608404,0.46030749293655976,0.41199295561178906
median,0.0472737590370219,-0.011675591444616133,-0.010152084235038541,-0.00847564185492552
q3,,,,
FRE,0.4227804518706151,0.06854654549478764,0.3224348974019353,0.26496679428087916
SMOGI,0.2745559648838505,0.0719778733300166,0.28875936143916014,0.2429930729978376
FKGL,0.383874427016929,0.06611174185783393,0.3084237192588891,0.2439434704884392
CLI,0.47317885785446057,0.05893689007466869,0.3403523805133725,0.2776893324214432
ARI,0.35444417602391154,0.029674275844258538,0.30627166743110984,0.22269415962432354
DCRS,0.3221225237527889,0.06335199932027592,0.1612588072175704,0.11996625780440906
LWF,0.30043190427389826,0.08523003716030537,0.1862833880447057,0.15549980143930114
GFI,0.346821189436018,0.08984716406590001,0.2526127196616239,0.20026421383908866
DW,0.2623649857166233,0.11865496370294666,0.39737263621213936,0.333816125567504
TS,0.2852983600314456,0.04520060228262305,0.20635014672057234,0.15289600534076245
FH,0.40966112842751395,0.06495005931607893,0.3166861965994057,0.2563928986212462
SP,0.4253785339567737,0.07317023458399322,0.21792539943943434,0.15176172195045365
GP,0.4461324467925549,0.04701173826078944,0.24331851145378305,0.17199438394546004
CF,0.44689430074791964,0.09384103699781103,0.35442010291877535,0.29106885559043627
NERF,0.24541893615519295,-0.00913147669295934,0.2998146856126203,0.20328053180255962
