QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7083333333333334,0.7626262626262627,4.950993377483444,4.926470588235295,1205,4.2,5.0,4.950993377483445,0.1236439586334366,5.0,5.0,5.0,56.29,13.8,11.2,10.91,15.5,8.7,13.8,12.76,36,13th and 14th grade,93.07,88.46,40.44,3.2,4.506474762655056
76378408,76378435,0.7047619047619048,0.7884615384615384,4.95081300813008,4.904504504504505,1185,3.6666666666666665,5.0,4.950813008130082,0.1577041937632527,5.0,5.0,5.0,71.65,10.1,7.4,9.05,10.1,8.68,11.6,9.43,33,9th and 10th grade,106.01,104.12,44.94,2.1,3.062104804569671
76378340,76378439,0.6956521739130435,0.7889447236180904,4.969851380042463,4.939583333333334,1214,4.266666666666667,5.0,4.969851380042463,0.10465346986262798,5.0,5.0,5.0,63.53,11.5,10.5,11.78,15.2,8.15,11.4,12.45,28,11th and 12th grade,97.85,93.34,38.52,2.8,2.544303092335654
76378344,76378496,0.6814814814814815,0.7704280155642024,4.936026936026935,4.9181159420289875,1491,3.066666666666667,5.0,4.936026936026936,0.18408488548953778,4.933333333333334,5.0,5.0,63.09,10.8,8.6,9.39,10.1,8.84,6.5,9.69,48,8th and 9th grade,99.91,97.16,44.32,2.7,4.965680569567944
76378323,76378505,0.6950354609929078,0.7898305084745763,4.940486409155935,4.926530612244899,1726,3.8,5.0,4.940486409155937,0.19178739602870204,5.0,5.0,5.0,63.19,10.2,8.5,10.26,11.0,8.06,12.0,9.6,47,8th and 9th grade,100.01,98.25,42.84,2.6,4.945437542242473
76378468,76378523,0.740506329113924,0.8317307692307693,4.925433526011559,4.912820512820513,2440,3.733333333333333,5.0,4.9254335260115605,0.1724857600629607,4.933333333333334,5.0,5.0,64.44,10.5,10.1,10.22,13.6,7.28,11.8,10.63,41,10th and 11th grade,98.77,97.33,41.44,2.5,4.1347247475999875
76378419,76378558,0.7625,0.8181818181818182,4.898575498575498,4.886338797814209,886,3.933333333333333,5.0,4.8985754985754975,0.21766232603417843,4.933333333333334,5.0,5.0,63.19,10.4,8.5,12.99,13.4,8.4,9.0,9.93,24,8th and 9th grade,100.01,95.47,38.35,2.8,1.6610920442619967
76383950,76384028,0.68,0.7774294670846394,4.93521505376344,4.8797385620915055,1788,2.933333333333333,5.0,4.935215053763441,0.20446636635524396,4.933333333333334,5.0,5.0,70.43,10.2,7.8,9.16,10.5,8.19,7.571428571428571,9.87,49,7th and 8th grade,104.79,99.3,44.27,2.5,3.9283156016245293
76380624,76380646,0.6815286624203821,0.7313432835820896,4.904535147392289,4.87538940809969,2406,3.933333333333333,5.0,4.9045351473922905,0.18703799541169108,4.933333333333334,5.0,5.0,57.71,12.0,10.7,10.39,13.2,8.24,8.666666666666666,11.6,65,11th and 12th grade,94.5,90.73,41.28,3.1,4.439262544108924
76380600,76380785,0.78,0.8232558139534883,4.960075329566852,4.937606837606839,1290,4.266666666666667,5.0,4.960075329566855,0.09723351872101536,4.933333333333334,5.0,5.0,58.92,13.2,10.2,10.15,13.2,7.79,9.0,11.57,33,9th and 10th grade,95.73,92.84,42.03,2.9,2.4409111208054908
