,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6541215022773599
vocab_coverage,0.6980468257867257
ave_readability,4.921394655787215
ave_readability2,4.9019224917407325
length,1291.71
min,3.9253763440860183
max,4.997132616487455
mean,4.921394655787213
std,0.18447934170873392
q1,4.949318996415787
median,4.994874551971328
q3,4.996810035842294
FRE,-146.39525999999987
SMOGI,10.9412
FKGL,38.457000000000065
CLI,56.71291999999996
ARI,66.1736
DCRS,8.683969999999997
LWF,10.75730583028083
GFI,10.368719999999982
DW,26.104
TS,10.11
FH,-49.459799999999944
SP,-62.42849000000021
GP,-39.746869999999994
CF,13.936499999999977
NERF,3.344440104944255
