,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.7069422752343263
vocab_coverage,0.75968033464935
ave_readability,4.93182245682885
ave_readability2,4.91587757583256
length,1596.241
min,3.908891177480261
max,5.0
mean,4.93182245682885
std,0.17651591169619812
q1,4.966477857878477
median,4.999176107106077
q3,4.999828355647099
FRE,50.13528
SMOGI,11.381399999999998
FKGL,11.216899999999999
CLI,181.83503
ARI,222.04350000000002
DCRS,9.56434
LWF,11.992677541902541
GFI,10.57286
DW,28.416
TS,11.181
FH,89.72242
SP,86.39984999999999
GP,-246.35213000000002
CF,2.8171
NERF,2.676064089160785
