,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34507167075991874,0.03123183480783321,0.3481027496678145,0.20721242591871414
vocab_coverage,0.414328533088654,0.06818781775954379,0.36635211212873453,0.23572998783700588
ave_readability,0.3358410942486247,0.1450616438305651,0.3912522705973869,0.2917445101068731
ave_readability2,0.2196631638239127,0.11408337291084975,0.32686765386349714,0.2693578901619586
length,0.20331662964776673,0.056111852808006554,0.04007959496078919,-0.019384051236237182
min,0.20322299781888456,0.10666542282061989,0.27628891441598546,0.20099431373238774
max,,,,
mean,0.33589907497807514,0.14524605486694284,0.3911447658450832,0.2916725544711695
std,0.3064443939757234,0.15193795605750574,0.34801173863873575,0.2646909912629176
q1,0.2632039464305018,0.08522671190608404,0.3219815846071123,0.23449203175762415
median,0.0472737590370219,-0.011675591444616133,0.06764451563780488,-0.010628669986444714
q3,,,,
FRE,0.4227804518706151,0.06854654549478764,0.4609340759883994,0.30363112515308543
SMOGI,0.2745559648838505,0.0719778733300166,0.3998153609554537,0.22979204196600983
FKGL,0.383874427016929,0.06611174185783393,0.41832976939707767,0.25910303304198523
CLI,0.47317885785446057,0.05893689007466869,0.458608162636415,0.34085269937174045
ARI,0.35444417602391154,0.029674275844258538,0.34173533432700426,0.20759469314314213
DCRS,0.3221225237527889,0.06335199932027592,0.14419750827864586,0.07957857700046965
LWF,0.30043190427389826,0.08523003716030537,0.2803358791056944,0.14124141027052656
GFI,0.346821189436018,0.08984716406590001,0.3085487038059662,0.19724230663390785
DW,0.2623649857166233,0.11865496370294666,0.27520144520065837,0.16974161689297343
TS,0.2852983600314456,0.04520060228262305,0.31321208270919865,0.2059052901331586
FH,0.40966112842751395,0.06495005931607893,0.4479084751287513,0.28909243045142397
SP,0.4253785339567737,0.07317023458399322,0.4274985949722945,0.2384823996849281
GP,0.4461324467925549,0.04701173826078944,0.3991053385654691,0.2002229697728814
CF,0.44689430074791964,0.09384103699781103,0.5004543815174324,0.3659277375061969
NERF,0.24541893615519295,-0.00913147669295934,0.2573278856825609,0.1568345690492764
