QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7205882352941176,0.6623376623376623,4.923529411764706,4.888435374149659,958,4.0,5.0,4.923529411764707,0.1681365403288993,4.933333333333334,5.0,5.0,37.03,15.4,14.5,14.39,21.6,9.47,17.5,14.3,28,14th and 15th grade,78.73,74.16,33.72,4.2,4.54078139014246
76378408,76378435,0.73,0.7425373134328358,4.891792294807369,4.947031963470321,1709,3.6666666666666665,5.0,4.891792294807367,0.3302954929111925,5.0,5.0,5.0,72.76,10.7,6.9,9.79,12.0,7.55,10.5,7.79,23,10th and 11th grade,107.13,104.85,43.57,2.1,4.340055077444529
76378340,76378439,0.515625,0.5870445344129555,4.927816091954023,4.903030303030303,2167,4.0,5.0,4.927816091954023,0.19581889330390323,5.0,5.0,5.0,12.29,10.4,13.6,28.85,25.7,10.63,4.0,8.53,53,10th and 11th grade,66.37,58.96,11.65,5.1,5.924002972204081
76378344,76378496,0.65625,0.6770833333333334,4.915897435897438,4.930158730158731,1198,4.066666666666666,5.0,4.915897435897438,0.15124641040398967,4.816666666666666,5.0,5.0,44.41,10.0,9.6,15.98,15.6,9.61,4.666666666666667,6.67,26,9th and 10th grade,88.64,87.19,33.63,3.2,5.759596040727107
76378323,76378505,0.6530612244897959,0.7038834951456311,4.886896551724137,4.8999999999999995,1450,3.733333333333333,5.0,4.8868965517241385,0.30154891463764855,4.933333333333334,5.0,5.0,59.6,10.2,7.9,16.92,16.1,9.33,5.5,7.63,35,7th and 8th grade,98.91,92.8,31.96,2.9,6.290051308406197
76378468,76378523,0.7886178861788617,0.7943548387096774,4.902876480541455,4.874914089347081,1363,3.066666666666667,5.0,4.902876480541454,0.25360939846095276,4.933333333333334,5.0,5.0,72.26,9.2,7.1,8.06,8.6,7.66,8.166666666666666,8.54,32,8th and 9th grade,106.62,103.84,46.76,2.2,5.364498067479797
76378419,76378558,0.6341463414634146,0.6823104693140795,4.887830687830687,4.8931623931623935,2214,3.8666666666666663,5.0,4.887830687830685,0.2604636746856342,4.933333333333334,5.0,5.0,50.94,11.1,9.1,17.97,18.5,8.82,7.875,7.12,50,8th and 9th grade,92.7,87.47,30.64,3.3,6.135574335302419
76383950,76384028,0.7363636363636363,0.7757009345794392,4.917269076305222,4.881481481481484,1336,4.266666666666667,5.0,4.91726907630522,0.16769653264890935,4.933333333333334,5.0,5.0,48.2,12.9,10.2,12.98,11.8,8.6,12.166666666666666,10.72,49,12th and 13th grade,89.95,86.13,38.45,3.5,4.778672723400273
76380624,76380646,0.7241379310344828,0.761437908496732,4.915593705293277,4.88888888888889,1787,4.266666666666667,5.0,4.915593705293273,0.16478202801215525,4.933333333333334,5.0,5.0,54.73,11.9,9.7,10.73,10.4,7.59,10.5,9.7,43,9th and 10th grade,94.01,92.17,42.13,3.1,2.8604024706767497
76380600,76380785,0.640625,0.7236842105263158,4.935151515151516,4.905691056910568,1144,4.266666666666667,5.0,4.935151515151517,0.14112365547302116,4.933333333333334,5.0,5.0,36.49,14.0,12.6,16.06,17.7,8.41,11.166666666666666,10.5,24,10th and 11th grade,80.68,79.84,32.7,4.0,5.331949186246643
