,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34543628003000765,0.032326176606219996,0.4490375254994574,0.199838864988607
vocab_coverage,0.41887899241028703,0.07135301624166532,0.4515200186501352,0.2383327907354206
ave_readability,0.33722578058891095,0.1452653071126436,0.517856400703337,0.3527704783230697
ave_readability2,0.21957878425952998,0.11454980772241127,0.424136050993789,0.28549675872309815
length,0.20331662964776673,0.056111852808006554,0.3749473071046763,0.15359530323366552
min,0.20307709654470923,0.10691918088844313,0.3475317184192184,0.20590422150858956
max,,,,
mean,0.3372825793038188,0.14519565834946851,0.5178403286051497,0.3527718540248746
std,0.30544113192671696,0.1514802399838029,0.4677550175425926,0.30647374027333946
q1,0.2849419062433839,0.10435940320922431,0.43280253821860476,0.27608067311541945
median,0.03599713465958862,-0.013828764111056139,-0.006984018319983842,-0.006984018319983842
q3,,,,
FRE,0.42753735788760905,0.07111870609865872,0.542338380734836,0.335772350377608
SMOGI,0.2650309906890334,0.06780222024833282,0.4430138593729958,0.2440279370652142
FKGL,0.38717821908219846,0.07177723681600512,0.4888766672586514,0.2713174976562478
CLI,0.47234194457037826,0.05839750542973789,0.5661626912547673,0.3368515085337264
ARI,0.35220688125458754,0.025870335412644142,0.47516660078537754,0.2595318424067989
DCRS,0.32478908740171236,0.0631761113651378,0.3177080474553481,0.16310039664191373
LWF,0.30135965094685147,0.07940047095622464,0.390103845311759,0.19943062700018224
GFI,0.3477660214736181,0.08523394177503286,0.4307153521050505,0.19890999226646128
DW,0.26142344985080795,0.11832340374469467,0.4444670880070615,0.23966226794942977
TS,0.27896932618583836,0.04789518082271578,0.34478927014523236,0.17871310656820663
FH,0.4146209079598439,0.07030903092237745,0.5235101392983532,0.3168381543755619
SP,0.42417886122915494,0.07180807550945881,0.5328718168267518,0.31726943557098936
GP,0.44354979855085125,0.044331334143020144,0.5355724695541053,0.3115906031938426
CF,0.4471954692668192,0.09386954175867059,0.5849670779387115,0.36176934029846214
NERF,0.24811129485562874,-0.0032010577484386698,0.3528786048786049,0.09783918183918185
