QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7454545454545455,0.7906976744186046,4.934313725490196,4.902439024390243,558,4.0,5.0,4.934313725490195,0.1630961250942561,4.983333333333333,5.0,5.0,59.4,10.9,7.9,10.54,10.8,9.17,7.428571428571429,10.06,21,10th and 11th grade,98.7,95.15,43.02,2.7,4.434120336535052
76378408,76378435,0.803921568627451,0.8024691358024691,4.931282051282051,4.931707317073171,431,3.6666666666666665,5.0,4.931282051282053,0.23907778107624153,5.0,5.0,5.0,77.27,8.8,7.3,7.66,9.7,7.67,10.625,9.8,10,7th and 8th grade,109.15,106.68,46.77,1.9,1.4755104956568355
76378340,76378439,0.8260869565217391,0.8433734939759037,4.982857142857143,4.973684210526315,465,4.733333333333333,5.0,4.982857142857143,0.04999773237488267,5.0,5.0,5.0,67.59,9.5,8.9,7.89,10.7,7.93,11.5,9.66,11,7th and 8th grade,101.93,101.24,45.91,2.3,0.7621517416658499
76378344,76378496,0.6379310344827587,0.6956521739130435,4.925000000000001,4.917117117117118,588,4.066666666666666,5.0,4.925,0.15069284433354277,4.916666666666667,5.0,5.0,61.87,11.2,9.1,12.18,13.4,9.66,11.1,10.72,20,10th and 11th grade,98.68,93.84,39.16,2.9,3.3914521466315213
76378323,76378505,0.7037037037037037,0.7446808510638298,4.894285714285715,4.878947368421053,610,3.733333333333333,5.0,4.894285714285715,0.2941747363561394,4.95,5.0,5.0,46.98,10.4,10.6,18.09,17.9,10.02,8.5,9.86,20,10th and 11th grade,88.72,86.15,30.0,3.5,4.687942778887805
76378468,76378523,0.7101449275362319,0.8102409638554217,4.917967781908303,4.903401360544218,1845,3.733333333333333,5.0,4.9179677819083025,0.1742493210690211,4.933333333333334,5.0,5.0,81.63,9.0,5.6,7.47,7.5,7.26,6.125,7.09,33,7th and 8th grade,113.54,107.8,47.6,1.8,4.201319379782468
76378419,76378558,0.6666666666666666,0.7183098591549296,4.883660130718954,4.866666666666666,440,3.933333333333333,5.0,4.883660130718954,0.2616665666724432,4.933333333333334,5.0,5.0,70.9,8.0,5.6,13.13,11.3,9.68,4.142857142857143,4.85,16,4th and 5th grade,107.76,104.53,38.28,1.6,1.254882619270158
76383950,76384028,0.7884615384615384,0.8625,4.963285024154589,4.946341463414633,449,4.6,5.0,4.963285024154589,0.08381886142723216,4.933333333333334,5.0,5.0,61.16,11.2,9.3,9.98,11.6,8.82,11.25,11.72,16,11th and 12th grade,97.97,94.04,43.11,2.9,1.5028145879693904
76380624,76380646,0.6363636363636364,0.7220543806646526,4.91854951185495,4.900366300366301,2020,4.2,5.0,4.918549511854951,0.15253913914523828,4.933333333333334,5.0,5.0,57.47,11.8,8.7,11.82,10.6,8.14,6.222222222222222,9.17,57,8th and 9th grade,96.76,92.51,40.67,3.0,5.525703826685167
76380600,76380785,0.7115384615384616,0.75,4.9646464646464645,4.953153153153154,593,4.533333333333333,5.0,4.9646464646464645,0.09372191617586764,5.0,5.0,5.0,42.38,11.5,10.3,14.54,12.8,8.56,7.142857142857142,9.09,17,8th and 9th grade,86.6,85.81,36.26,3.5,3.1831997672477765
76378487,76378586,0.627906976744186,0.6959459459459459,4.893203883495147,4.8962962962962955,838,3.6666666666666665,5.0,4.893203883495146,0.30292921703771053,5.0,5.0,5.0,69.72,9.8,8.1,7.72,9.4,9.17,14.0,9.81,20,9th and 10th grade,104.07,103.27,46.93,2.2,5.00049496975257
76380579,76380826,0.8571428571428571,0.8503937007874016,4.91604938271605,4.916666666666667,730,3.733333333333333,5.0,4.916049382716049,0.23750596620106298,4.933333333333334,5.0,5.0,72.36,10.7,7.1,8.52,8.8,7.55,8.0,8.86,17,8th and 9th grade,106.72,101.59,46.04,2.3,3.4970079435492165
76383957,76384041,0.6511627906976745,0.676056338028169,4.956944444444445,4.930952380952381,457,4.133333333333334,5.0,4.956944444444445,0.1475036618084906,5.0,5.0,5.0,48.81,11.2,9.9,12.46,11.0,8.84,8.0,10.17,15,10th and 11th grade,90.56,85.15,39.58,3.6,1.5508478840958952
