,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.0183021658140424,0.0430661015538707,0.010176653093523853,0.018439022070147887
vocab_coverage,0.024151644244843163,0.05844893437870582,0.023238993310038283,0.042006142854805834
ave_readability,0.0030365155359448563,0.003538154669977897,0.0015227497786785586,0.001967828610490406
ave_readability2,0.0027031568501510446,0.003358981936584785,0.0014633725974535945,0.001569894528266842
length,6521982.479,6956971.053,13659204.127,12219926.533
min,0.61456,0.8068189964157706,0.3443733333333333,0.4228717606495384
max,0.0,0.0,0.0,0.0
mean,0.003036515535944849,0.0035381546699778865,0.0015227497786785556,0.001967828610490402
std,0.012484671683655933,0.017975583095998844,0.006564804491401071,0.00900090640889889
q1,0.007689166666666674,0.007736335125448034,0.004974166666666673,0.0056364698031364764
median,0.0008122222222222214,0.00042674731182795695,0.0005333333333333333,0.000591702813925036
q3,7.583333333333305e-05,4.6202956989246985e-05,3.55555555555553e-05,4.0040040040039755e-05
FRE,1866.7714674000001,2304.9543199,1165.867594,1500.8502725
SMOGI,26.415239999999997,61.85378000000001,7.47404,9.52465
FKGL,73.08042,59.03482000000001,32.884240000000005,42.66936
CLI,145.3586796,199.05134239999998,109.3023531,141.8922943
ARI,219.31806,222.17128,127.79769999999999,163.64547
DCRS,10.0381601,9.533164300000001,11.314029,13.0985809
LWF,56.92100286916948,56.45665412173089,46.67911289639559,27.937652134414485
GFI,56.081009300000005,31.282035700000005,17.9904646,24.1274036
DW,1086.572,1335.572,655.7,714.967
TS,72.759,36.182,42.742,39.044
FH,1069.1789931,1201.4244149,617.8680360000001,795.0651762000001
SP,1113.7845249999998,1218.3118075000002,648.4033725,830.4387555
GP,442.67833830000006,542.2180357,313.47139989999994,404.7290053999999
CF,5.320819999999999,8.46301,3.4325400000000004,4.29309
NERF,15.600087092714562,36.61644056659991,20.992697967328276,29.880139351365383
