,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34507167075991874,0.03123183480783321,0.18132993766684297,0.17565574197956965
vocab_coverage,0.414328533088654,0.06818781775954379,0.21277560637929702,0.20521319423605835
ave_readability,0.3359159597905229,0.14519876511536675,0.23503866140280644,0.22990720529939077
ave_readability2,0.21994136325266897,0.11448252396798711,0.2528678393557829,0.24987864728750087
length,0.20331662964776673,0.056111852808006554,0.01906363794423173,0.027555666084061486
min,0.20322299781888456,0.10666542282061989,0.237068101851554,0.23436275506670698
max,,,,
mean,0.33589907497807514,0.14524605486694284,0.2350379753307739,0.22993941550118607
std,0.3064443939757234,0.15193795605750574,0.20400328533683426,0.20213589257240536
q1,0.2632039464305018,0.08522671190608404,0.21123169337517067,0.20246912034042341
median,0.0472737590370219,-0.011675591444616133,0.004930123976622128,0.005695464006292286
q3,,,,
FRE,0.4227804518706151,0.06854654549478764,0.14252379207628552,0.12924822488845536
SMOGI,0.2745559648838505,0.0719778733300166,0.22089378899145823,0.20327607080426058
FKGL,0.383874427016929,0.06611174185783393,0.11844119009847276,0.10295587453747695
CLI,0.47317885785446057,0.05893689007466869,0.23497972914820117,0.21757541643369252
ARI,0.35444417602391154,0.029674275844258538,0.054646673842403376,0.04176938052496788
DCRS,0.3221225237527889,0.06335199932027592,0.1242876943959495,0.13496353243889786
LWF,0.30043190427389826,0.08523003716030537,0.13261343556007907,0.1200323412003821
GFI,0.346821189436018,0.08984716406590001,0.09213053406032128,0.0731582804608501
DW,0.2623649857166233,0.11865496370294666,0.29402283633505255,0.2819479654579746
TS,0.2852983600314456,0.04520060228262305,0.06468751029507451,0.05659051504938023
FH,0.40966112842751395,0.06495005931607893,0.13287682345537044,0.1193276121783324
SP,0.4253785339567737,0.07317023458399322,0.11689824606131921,0.10874564077298046
GP,0.4461324467925549,0.04701173826078944,0.08705710261129879,0.07563775398612449
CF,0.44689430074791964,0.09384103699781103,0.21177976568906706,0.19480540063613502
NERF,0.24541893615519295,-0.00913147669295934,0.16977943483092323,0.1644873716136121
