,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.019696745999443745,0.05212337341783414,0.021476044466302673,0.03343686212309106
vocab_coverage,0.025198822746388225,0.06805280772834504,0.035367025239089384,0.056508035211453714
ave_readability,0.003276275768097182,0.004111161949657247,0.002020813170226057,0.002474264651989815
ave_readability2,0.002931357249192518,0.0037886421481471977,0.0015488353673297295,0.0018267229727377003
length,6380466.209,6682526.463,5100262.672,5520181.143
min,0.61772,0.8086648745519713,0.44639111111111107,0.510151111111111
max,0.0,0.0,0.0,0.0
mean,0.0032762757680971817,0.004111161949657249,0.0020208131702260526,0.0024742646519898114
std,0.013598371867181644,0.020055609479792662,0.009622185277272467,0.011979901016655265
q1,0.008088333333333341,0.0084655017921147,0.004923611111111116,0.005543055555555559
median,0.0008355555555555548,0.0004368279569892472,5.44444444444443e-05,5.44444444444443e-05
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0,0.0
FRE,1967.6600193,2505.8721935999997,1572.8273339,1939.7616762
SMOGI,29.168599999999998,63.312180000000005,9.720220000000001,11.626280000000001
FKGL,76.85335,68.41363,38.45107,46.39041
CLI,155.2700557,211.91829609999996,135.4000954,170.09356770000002
ARI,232.06499,247.81278999999998,157.58785999999998,202.57134
DCRS,10.1583059,10.2816753,4.895264,6.7358925
LWF,75.02402623015266,81.72409450528056,49.01008053410825,51.232689358998954
GFI,58.0087342,36.6918646,17.213074999999996,20.1656848
DW,1021.832,1201.86,675.158,780.417
TS,76.643,42.422,25.784,28.651
FH,1125.2444166,1324.7850693999999,810.1083468,994.3939172
SP,1181.0125449000002,1343.1659404,861.2190320999999,1059.9571801
GP,471.67378879999995,586.1673748,397.78245940000005,498.45574279999994
CF,5.61927,8.94886,4.190600000000001,5.14516
NERF,15.272458957847414,31.714532579413845,16.467693531010166,25.331320116599812
