,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.018337569528319053,0.04418227211181292,0.008725076353730201,0.011754498877603799
vocab_coverage,0.024152223614605516,0.059231041773348765,0.018016936445409297,0.023882597538489314
ave_readability,0.0030761070407352075,0.003546683614085197,0.0027274629008600657,0.003034949026807045
ave_readability2,0.0027710614040652986,0.0033795287682829764,0.001386054919728621,0.0014434060342171917
length,6513301.835,6940694.505,39920095.975,33137090.365
min,0.61456,0.8068189964157706,0.39456888888888886,0.43835999999999997
max,0.0,0.0,0.0,0.0
mean,0.0030761070407351893,0.003546683614085185,0.0027274629008600605,0.0030349490268070387
std,0.012562704955549989,0.018143152663355484,0.010020323531046307,0.011603253477395764
q1,0.008373055555555562,0.00804015456989248,0.008550277777777792,0.00906527777777779
median,0.0008077777777777769,0.00042226702508960573,0.00028999999999999946,0.00022333333333333306
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0,0.0
FRE,1868.4335942000002,2320.9553353,28199.388337800006,28931.687876400003
SMOGI,26.415239999999997,61.85378000000001,5.6611,6.514620000000001
FKGL,73.18932000000001,59.18826,547.1436000000001,562.6006600000002
CLI,145.9805387,200.2858873,6467.343619200002,6515.124254100001
ARI,219.92665999999997,223.08426,6835.51968,6902.4084699999985
DCRS,10.2064293,9.4360725,16.768856099999997,18.348874499999997
LWF,56.808746358307964,56.4255585549628,29.79855595252248,25.67254582557058
GFI,56.13865749999999,31.2654219,15.1867773,16.714064099999998
DW,1063.903,1293.141,1682.738,1460.691
TS,73.696,38.077,51.908,50.902
FH,1070.3802044000001,1208.5059562,14155.805997499998,14529.0879769
SP,1115.7039180000002,1229.2866849,15262.9715917,15651.815017899999
GP,444.38662000000005,545.5799554000001,18076.77888460001,18211.479608300004
CF,5.3488999999999995,8.54011,93.96226999999999,96.28489000000002
NERF,15.28471641180302,35.71669351802086,45.47824338730859,200.89513714176854
