,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.3450504079144552,0.03094254027998341,0.31983060897040044,0.18844680666937655
vocab_coverage,0.4199226359741189,0.07198090573776134,0.3453659019953968,0.2026142346356689
ave_readability,0.3383294891601267,0.14544647537095784,0.44359529088238997,0.3372724783050841
ave_readability2,0.21956861469186667,0.1143569453148464,0.3387101726141435,0.28068848649900613
length,0.20331662964776673,0.056111852808006554,0.46139838991270177,0.3448627182152708
min,0.20307709654470923,0.10691918088844313,0.28745457561831667,0.2610655971423355
max,,,,
mean,0.3383419404725801,0.14544075439426735,0.44358621543808563,0.3373072489300415
std,0.30535487074565165,0.15157766038381082,0.42396474396474393,0.3390737800910015
q1,0.29145193828718663,0.1148896576343288,0.3391179501987299,0.2814354819731168
median,0.027866504874792353,-0.015696223648179367,,
q3,,,,
FRE,0.4282009898911455,0.06959353240696191,0.4128945511924431,0.2612682583465852
SMOGI,0.27287966468790914,0.06846316923830792,0.41654397727768794,0.31855191306451286
FKGL,0.38896037537418976,0.07120945069306102,0.3504920590862809,0.17914374749102968
CLI,0.47146653414147327,0.05670515972709852,0.4579070508389548,0.34302327912778896
ARI,0.35236401460925065,0.026217578700512202,0.3237086590020595,0.18349630370244788
DCRS,0.32443750469863275,0.0638928867949718,0.23748057686424312,0.09717349238379927
LWF,0.30152245235199554,0.0810746058862822,0.2734106423862125,0.15341767747517393
GFI,0.34985664921615955,0.08778955422318455,0.35246475877680655,0.130626712129457
DW,0.26142344985080795,0.11832340374469467,0.5099289766636876,0.3928096953214153
TS,0.25494350819441075,0.023463157803080968,0.26227611610121365,0.15900726915940028
FH,0.41563003306937685,0.06905899292731232,0.38905212159099084,0.23344733452235092
SP,0.4214112169572195,0.06937592979083329,0.41046945671832036,0.25659543354578956
GP,0.4423406423474144,0.043945850093266715,0.4210288476822607,0.3041015894492015
CF,0.44682283822148566,0.09172654084679377,0.4562629910339801,0.3131656066508204
NERF,0.2517496805049295,-0.0035767961884283885,0.2687657447657448,0.08071548871548873
