,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10518884863570505,0.1799648312340232,0.13580233449621307,0.18617748980705545
vocab_coverage,0.12130723287609738,0.21408958060750063,0.15234815931665083,0.22328080778008721
ave_readability,0.03903436392259053,0.043869971161518036,0.043336680355801016,0.04428738900875155
ave_readability2,0.039552071940086524,0.04404586692490193,0.03851006722005953,0.03946339348463272
length,1243.833,1405.247,2915.341,2312.475
min,0.569,0.6967741935483871,0.4956001407954946,0.567003367003367
max,0.0,0.0,0.0007039774727208732,0.000673400673400672
mean,0.03903436392259053,0.043869971161517994,0.043336680355801016,0.04428738900875156
std,0.0854851740178641,0.1043243705958571,0.08957349493129249,0.10143569074480356
q1,0.053300000000000014,0.05631720430107527,0.058729320661738825,0.05404040404040402
median,0.004699999999999992,0.0029233870967741893,0.0075325589581133326,0.0039655817433595164
q3,0.000549999999999999,0.00038642473118279434,0.0013199577613516348,0.0009539842873176182
FRE,25.87793,32.89244,41.12271,55.0574
SMOGI,3.5262,6.29,3.5333,4.946400000000001
FKGL,4.575,5.5506,7.449100000000001,10.2537
CLI,7.205679999999999,9.5999,10.251040000000001,13.118259999999998
ARI,8.7275,11.171700000000001,30.517400000000002,38.9945
DCRS,2.10432,2.1217799999999998,4.71549,4.96868
LWF,5.570793091579417,6.203120692147922,5.703122210491121,6.577331244802146
GFI,3.65186,4.145519999999999,5.42835,6.63443
DW,19.856,23.558,17.24,19.982
TS,4.398,4.517,6.23,6.948
FH,19.190160000000002,24.152260000000002,30.99544,41.917300000000004
SP,19.59676,24.477330000000002,29.576510000000003,39.65393
GP,12.504700000000001,16.01782,17.83525,22.797729999999998
CF,1.4206999999999999,1.9212,1.7398,2.2431
NERF,2.8949988845152066,4.782030113744171,5.755552223816244,7.456781061245305
