,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.01923120945428086,0.04920008362699844,0.015128174742876511,0.02817382580044413
vocab_coverage,0.02494080641447869,0.06593855626637725,0.027061113339182024,0.052382779057579744
ave_readability,0.0032237582061507807,0.003968844127423912,0.0016931212512461427,0.0022754772955147487
ave_readability2,0.00289099127758311,0.0036385246989858394,0.0011572194777704542,0.0014710394111681307
length,6412160.559,6745870.413,2570090.224,2775774.211
min,0.61772,0.8086648745519713,0.3763852741630519,0.45960627293960626
max,0.0,0.0,0.0,0.0
mean,0.0032237582061507776,0.003968844127423908,0.0016931212512461497,0.002275477295514754
std,0.013412679246462911,0.019694614548367913,0.008242144489806256,0.01114094906524108
q1,0.008024444444444452,0.008196684587813627,0.004026248470692918,0.004912134356578804
median,0.0008299999999999991,0.0004312275985663082,7.11822934045156e-05,7.11822934045156e-05
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0,0.0
FRE,1949.5437656999998,2549.258573,1415.6671288999999,1835.0347549
SMOGI,29.754080000000002,65.1583,10.9092,12.282190000000002
FKGL,76.41561999999999,69.27954000000001,44.524179999999994,50.64418
CLI,153.5217744,215.7090098,102.1226777,147.08570830000002
ARI,228.46711,255.77185,125.21366,167.45931
DCRS,10.2112022,10.136417600000001,6.802795400000001,8.5385649
LWF,76.48972497433718,84.08694352595633,54.54070478186625,52.29753967308829
GFI,57.966722399999995,36.70289,22.8576711,25.341867499999996
DW,1021.832,1201.86,426.486,550.789
TS,74.364,43.513,65.711,68.583
FH,1115.6483747999998,1346.6917833999998,775.0649136000001,966.5399984000002
SP,1165.2845196,1363.4251758999997,807.7239645999999,1021.1296981
GP,465.576981,595.5166125999999,302.7864392,420.53359120000005
CF,5.57963,9.12344,3.93666,5.1169899999999995
NERF,15.988437054056986,34.870741181402344,23.658490383869275,36.82079922831514
