,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10185658262541628,0.16584300870579288,0.21033389102942465,0.21988783913990945
vocab_coverage,0.11866348184282406,0.19912542435224806,0.22413970503437491,0.2446060392923094
ave_readability,0.037456163285730974,0.041176404593612055,0.027830147209489575,0.029782352577565594
ave_readability2,0.03807432522229072,0.042037322147197555,0.02858320686181114,0.029870848915956424
length,1276.129,1466.969,1097.196,1130.39
min,0.5672,0.6954301075268815,0.3785651793525806,0.40778652668416404
max,0.0,0.0,0.0008748906386701655,0.0008748906386701655
mean,0.03745616328573085,0.041176404593612194,0.027830147209489793,0.029782352577565847
std,0.08254094395940258,0.09926191417493833,0.06124597677358542,0.06553492110393327
q1,0.051349999999999896,0.054267473118279265,0.03674540682414692,0.03915135608048985
median,0.004566666666666658,0.002856182795698921,0.0028871391076115476,0.0027121609798775137
q3,0.000549999999999999,0.00038642473118279434,0.0010717410323709522,0.0010717410323709522
FRE,25.16053999999997,31.160549999999997,48.830060000000046,49.70050000000001
SMOGI,3.312999999999999,6.14839999999999,4.415099999999997,4.534699999999999
FKGL,4.362800000000005,5.146999999999993,8.382000000000003,8.456000000000008
CLI,7.001000000000013,9.265040000000003,25.947280000000006,26.455300000000012
ARI,8.420799999999998,10.3648,20.60469999999999,21.089699999999986
DCRS,2.0601099999999986,2.04985,3.4788300000000008,3.549620000000002
LWF,4.85848357289855,5.358696627065737,5.976777917777951,5.981763600151135
GFI,3.5041500000000005,3.9548900000000047,4.522149999999999,4.63408
DW,21.168,25.9,19.141,19.792
TS,4.221,4.208,4.996,4.922
FH,18.584090000000003,22.734089999999952,36.308209999999974,36.82624999999997
SP,18.87539999999999,22.944210000000016,30.04021999999999,30.716799999999992
GP,12.16270999999999,15.267310000000007,38.25201000000004,39.04943000000003
CF,1.3781999999999988,1.8360999999999985,2.421299999999996,2.478799999999997
NERF,2.950891558618362,5.081429560614867,4.7668648425802385,5.258648884640729
