,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.7564376154178789
vocab_coverage,0.8007685078887166
ave_readability,4.935904611030288
ave_readability2,4.921670796806114
length,843.701
min,3.953
max,5.0
mean,4.935904611030288
std,0.17032515775722204
q1,4.969900000000001
median,5.0
q3,5.0
FRE,66.62625
SMOGI,10.4922
FKGL,8.3689
CLI,9.19698
ARI,10.4957
DCRS,7.94242
LWF,9.657081686369185
GFI,9.6048
DW,20.877
TS,8.779
FH,102.08417000000001
SP,99.17056
GP,44.237559999999995
CF,2.4409000000000005
NERF,2.4420121592611785
