,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6607359520032963
vocab_coverage,0.6322257930677234
ave_readability,4.906454696382653
ave_readability2,4.90619135249844
length,5860.253
min,3.798998998998999
max,5.0
mean,4.906454696382653
std,0.1973295981902973
q1,4.905822489155823
median,4.9922922922922925
q3,4.9996663329996665
FRE,9.02499
SMOGI,11.0925
FKGL,16.905099999999997
CLI,26.309849999999997
ARI,29.9902
DCRS,6.2196299999999995
LWF,10.342861481573982
GFI,9.394720000000001
DW,42.651
TS,14.775
FH,60.6225
SP,55.984809999999996
GP,13.47295
CF,5.1126000000000005
NERF,2.3503253889614184
