QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7444444444444445,0.7556390977443609,4.937976782752902,4.921393034825872,1715,4.0,5.0,4.9379767827529015,0.13909800845540785,4.933333333333334,5.0,5.0,55.64,13.7,9.4,12.06,13.5,6.75,12.0,8.64,27,13th and 14th grade,94.93,88.79,40.18,3.3,3.5414801587130205
76378408,76378435,0.7916666666666666,0.8177339901477833,4.930522088353414,4.942105263157896,1179,3.6666666666666665,5.0,4.930522088353414,0.2455878295889785,5.0,5.0,5.0,73.68,9.7,6.6,7.65,9.0,7.38,7.571428571428571,7.08,21,7th and 8th grade,108.05,107.54,47.42,1.8,4.26987291438331
76378340,76378439,0.6779661016949152,0.7719298245614035,4.984343434343434,4.961666666666667,1121,4.4,5.0,4.984343434343435,0.07379097263268276,5.0,5.0,5.0,67.55,10.9,6.9,12.69,12.6,6.63,12.4,7.4,16,6th and 7th grade,104.4,103.7,39.31,2.1,0.8581189147205768
76378344,76378496,0.7358490566037735,0.7605633802816901,4.933024691358024,4.923931623931624,1793,3.8666666666666663,5.0,4.933024691358025,0.18397728491758297,4.933333333333334,5.0,5.0,55.95,11.0,9.3,10.43,12.6,7.37,6.857142857142857,7.66,35,9th and 10th grade,95.23,94.74,42.5,2.9,4.0101156651821555
76378323,76378505,0.6203703703703703,0.6917293233082706,4.917753623188406,4.914427860696519,1903,3.8,5.0,4.917753623188406,0.23687534619844036,4.933333333333334,5.0,5.0,48.7,11.2,10.0,17.39,18.2,9.18,10.5,9.02,42,9th and 10th grade,90.46,87.28,31.3,3.4,5.674893206599307
76378468,76378523,0.7763157894736842,0.8217054263565892,4.91153039832285,4.898305084745761,2048,3.066666666666667,5.0,4.911530398322851,0.2338265951707281,4.933333333333334,5.0,5.0,77.06,9.1,7.4,7.49,9.6,6.87,8.333333333333334,8.88,31,6th and 7th grade,108.95,106.54,46.94,1.9,3.944986119000353
76378419,76378558,0.5853658536585366,0.6452702702702703,4.853403141361256,4.889814814814816,2437,3.8666666666666663,5.0,4.853403141361256,0.3020365156576225,4.933333333333334,5.0,5.0,46.33,9.8,8.8,20.2,20.4,8.88,5.0,5.45,43,8th and 9th grade,90.58,88.45,26.2,2.7,7.729057461905779
76383950,76384028,0.7283950617283951,0.7395348837209302,4.958071278825996,4.951412429378532,1508,4.533333333333333,5.0,4.958071278825996,0.09051555390839156,4.933333333333334,5.0,5.0,36.05,10.6,10.7,16.21,16.3,7.23,6.444444444444445,7.33,28,10th and 11th grade,82.74,76.9,33.21,4.0,3.2899786718252013
76380624,76380646,0.6545454545454545,0.6584507042253521,4.920855614973262,4.901851851851853,1892,3.933333333333333,5.0,4.920855614973262,0.1763463074498061,4.933333333333334,5.0,5.0,41.97,11.2,10.5,16.28,16.4,8.15,6.2,7.17,35,10th and 11th grade,86.19,79.68,33.21,4.0,5.432816428265641
76380600,76380785,0.7761194029850746,0.7714285714285715,4.935802469135803,4.926923076923078,1655,3.733333333333333,5.0,4.935802469135803,0.1732270786843495,4.933333333333334,5.0,5.0,42.48,12.4,10.3,16.4,16.7,6.55,7.875,6.65,20,6th and 7th grade,86.7,80.52,33.25,3.9,4.921254315556904
