,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10185658262541611,0.16584300870579277,0.25363328352939735,0.31422921367367956
vocab_coverage,0.118663481842824,0.19912542435224823,0.2595229093540294,0.3216464243378413
ave_readability,0.037456163285730884,0.0411764045936121,0.05497639269430706,0.05681305663243855
ave_readability2,0.038074325222290775,0.04203732214719759,0.04804737986687917,0.05003053164336645
length,1276.129,1466.969,2673.364,2407.94
min,0.5672,0.6954301075268816,0.5237113402061855,0.6151097498723838
max,0.0,0.0,0.0010309278350515462,0.004287901990811632
mean,0.037456163285730835,0.04117640459361205,0.054976392694307034,0.056813056632438505
std,0.08254094395940272,0.09926191417493842,0.09564152868287132,0.10740464262110366
q1,0.05135000000000001,0.05426747311827956,0.07699742268041238,0.08532414497192445
median,0.004566666666666658,0.002856182795698921,0.016151202749140874,0.019040326697294517
q3,0.000549999999999999,0.00038642473118279434,0.004596219931271472,0.008933129147524236
FRE,25.16054,31.160550000000004,85.18737999999999,101.47402000000001
SMOGI,3.313,6.1484,5.751,7.077100000000001
FKGL,4.362799999999999,5.147,15.5739,18.8739
CLI,7.001,9.265039999999999,31.033230000000003,33.78021
ARI,8.4208,10.364799999999999,39.555,61.4742
DCRS,2.06011,2.0498499999999997,7.389369999999999,7.820429999999999
LWF,4.858483572898549,5.358696627065745,7.085819131602091,8.251329929050346
GFI,3.5041499999999997,3.95489,9.116760000000001,10.57031
DW,21.168,25.9,24.619,27.217
TS,4.221,4.208,8.852,10.602
FH,18.584090000000003,22.734090000000002,64.65693,77.45645000000002
SP,18.875400000000003,22.944209999999998,55.22972,64.75851
GP,12.162709999999999,15.26731,49.76104,52.89889
CF,1.3781999999999999,1.8360999999999998,2.8915,3.3914
NERF,2.9508915586183626,5.081429560614864,15.680613581378203,16.782847230832935
