,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.7198011473079646
vocab_coverage,0.7803829930455558
ave_readability,4.926052833388701
ave_readability2,4.900881018836542
length,1564.845
min,3.735266666666667
max,5.0
mean,4.926052833388702
std,0.18659420790321002
q1,4.952450000000002
median,5.0
q3,5.0
FRE,59.19321
SMOGI,11.966299999999999
FKGL,10.0194
CLI,10.56805
ARI,12.741
DCRS,8.298429999999998
LWF,11.459818315018316
GFI,11.070709999999998
DW,42.499
TS,10.409
FH,96.0706
SP,92.92843
GP,41.46014999999999
CF,2.899
NERF,3.9629320720404944
