,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.019696745999443745,0.05212337341783414,0.014305175602181763,0.02546208343069162
vocab_coverage,0.025198822746388225,0.06805280772834504,0.02625028284106919,0.05107991889090157
ave_readability,0.003276275768097181,0.004111161949657245,0.001613818714237605,0.0020968276502669365
ave_readability2,0.0029313572491925168,0.0037886421481471955,0.0015058785254055459,0.0015974091113098014
length,6380466.209,6682526.463,5126273.492,4995145.998
min,0.61772,0.8086648745519713,0.40911111111111104,0.46326222222222213
max,0.0,0.0,0.0,0.0
mean,0.0032762757680971817,0.004111161949657249,0.0016138187142376132,0.002096827650266955
std,0.013598371867181644,0.020055609479792662,0.007117198112935217,0.009874488964979276
q1,0.008088333333333341,0.0084655017921147,0.0046341666666666744,0.004997777777777784
median,0.0008355555555555548,0.0004368279569892472,5.44444444444443e-05,5.44444444444443e-05
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0,0.0
FRE,1967.6600193,2505.8721935999997,1309.8888431000003,1668.5101851
SMOGI,29.168599999999998,63.312180000000005,11.404770000000001,11.945849999999998
FKGL,76.85335,68.41363,33.76371,38.64336
CLI,155.2700557,211.91829609999996,114.43935619999999,154.2360786
ARI,232.06499,247.81278999999998,130.49737,169.8163
DCRS,10.1583059,10.2816753,4.888157199999999,5.905760399999999
LWF,75.02402623015266,81.72409450528056,51.23387715421165,53.62887138001704
GFI,58.0087342,36.6918646,17.2765994,20.0567608
DW,1021.832,1201.86,1156.467,940.613
TS,76.643,42.422,24.708,25.944
FH,1125.2444166,1324.7850693999999,679.4103005000002,841.3546134000001
SP,1181.0125449000002,1343.1659404,718.501853,894.3281133999999
GP,471.67378879999995,586.1673748,335.3418075,441.606082
CF,5.61927,8.94886,3.46738,4.38696
NERF,15.272458957847414,31.714532579413845,10.02886223094018,17.428546018256412
