,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6029479913863921
vocab_coverage,0.6192127953427812
ave_readability,4.929154870781629
ave_readability2,4.924392394394218
length,5359.328
min,4.351208791208792
max,4.996703296703297
mean,4.929154870781629
std,0.13122250631384463
q1,4.919560439560441
median,4.97996336996337
q3,4.993333333333333
FRE,-103.84516
SMOGI,6.8302000000000005
FKGL,50.4193
CLI,120.84344999999998
ARI,160.2216
DCRS,8.299430000000001
LWF,18.55144318521029
GFI,37.50952
DW,12.208
TS,32.33
FH,-40.90294
SP,-51.656729999999996
GP,-173.80503
CF,7.0457
NERF,59.92387217486229
