QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.6976744186046512,0.7377049180327869,4.911111111111111,4.8933333333333335,413,4.0,5.0,4.911111111111111,0.18432392314069082,4.933333333333334,5.0,5.0,35.57,15.0,12.9,13.98,17.5,11.61,14.333333333333334,13.19,18,13th and 14th grade,79.77,78.03,36.36,4.2,5.827333080092643
76378408,76378435,0.7126436781609196,0.7432432432432432,4.890909090909091,4.937634408602151,993,3.6666666666666665,5.0,4.890909090909091,0.3062615601911032,4.933333333333334,5.0,5.0,77.33,8.6,5.2,11.17,11.6,9.48,5.333333333333333,6.19,25,5th and 6th grade,111.72,107.46,41.84,1.7,5.249915432509333
76378340,76378439,0.5728155339805825,0.6558139534883721,4.92434988179669,4.894915254237289,1845,4.0,5.0,4.924349881796691,0.18826399621664153,4.933333333333334,5.0,5.0,34.86,13.3,13.2,20.88,21.9,9.48,10.833333333333334,12.09,43,12th and 13th grade,79.05,74.72,24.56,4.4,5.345790559838669
76378344,76378496,0.5942028985507246,0.5934959349593496,4.880365296803654,4.860162601626016,922,3.733333333333333,5.0,4.880365296803654,0.2675689994191747,4.866666666666666,5.0,5.0,49.72,11.7,9.6,15.59,18.6,10.45,10.5,8.67,24,10th and 11th grade,91.48,88.1,34.16,3.3,4.762451099106789
76378323,76378505,0.7012987012987013,0.7666666666666667,4.863768115942028,4.881481481481482,1277,3.733333333333333,5.0,4.86376811594203,0.3448138488404533,4.95,5.0,5.0,59.5,8.8,7.9,17.44,16.3,9.18,5.0,6.81,28,8th and 9th grade,98.8,96.12,31.55,2.6,5.644541507512754
76378468,76378523,0.75,0.8,4.871474358974358,4.852991452991454,1505,3.2666666666666666,5.0,4.871474358974359,0.2899277197438547,4.866666666666666,5.0,5.0,68.6,11.2,8.5,9.34,11.4,7.34,6.125,9.37,30,8th and 9th grade,102.95,99.0,43.83,2.5,3.199115629070513
76378419,76378558,0.6161616161616161,0.6607142857142857,4.843243243243243,4.86775956284153,2137,3.8666666666666663,5.0,4.843243243243243,0.31450087868650944,4.933333333333334,5.0,5.0,38.28,10.3,9.8,23.97,25.3,9.87,5.181818181818182,5.67,40,9th and 10th grade,84.99,81.47,19.57,3.2,8.450936847164378
76383950,76384028,0.6847826086956522,0.7616279069767442,4.938931297709924,4.897354497354497,975,3.4,5.0,4.938931297709924,0.20758119380858636,4.933333333333334,5.0,5.0,58.79,9.1,8.2,10.89,10.4,8.57,7.2857142857142865,7.93,27,7th and 8th grade,98.09,97.15,42.26,2.6,2.7311900633534023
76380624,76380646,0.5764705882352941,0.5904255319148937,4.896096096096096,4.88843537414966,1282,4.266666666666667,5.0,4.8960960960960955,0.17823170682033784,4.833333333333333,5.0,5.0,24.54,12.5,13.0,18.89,17.7,9.17,6.1,9.55,35,12th and 13th grade,73.68,68.11,28.66,4.9,6.152676756485265
76380600,76380785,0.6794871794871795,0.7342657342657343,4.944761904761905,4.932075471698113,1011,4.333333333333333,5.0,4.944761904761905,0.10668933999387924,4.933333333333334,5.0,5.0,49.52,12.3,9.7,14.72,14.4,9.28,7.625,9.83,29,9th and 10th grade,91.27,86.27,35.55,3.5,5.470724036805397
76378487,76378586,0.6212121212121212,0.6621621621621622,4.948979591836736,4.941463414634147,735,3.8,5.0,4.948979591836736,0.1821516699786853,5.0,5.0,5.0,56.9,11.2,17.2,4.6,21.0,9.32,25.5,19.92,10,9th and 10th grade,86.19,81.62,43.45,2.3,2.9467429640260177
76380579,76380826,0.85,0.7848101265822784,4.920430107526881,4.905882352941176,470,3.733333333333333,5.0,4.920430107526882,0.2421050779536774,5.0,5.0,5.0,68.81,11.2,8.5,8.65,11.7,7.87,12.25,9.8,10,8th and 9th grade,103.15,101.82,45.13,2.3,2.4443582093390894
76383957,76384041,0.6338028169014085,0.6293706293706294,4.94888888888889,4.922962962962963,1060,4.133333333333334,5.0,4.948888888888889,0.16056997244000107,5.0,5.0,5.0,27.11,12.3,14.1,17.98,19.2,9.02,11.166666666666666,12.06,32,12th and 13th grade,73.77,71.13,29.64,4.7,3.54271249647788
76383902,76384109,0.7105263157894737,0.6296296296296297,4.918207282913166,4.922222222222223,1533,3.8,5.0,4.918207282913164,0.23581109006800335,5.0,5.0,5.0,35.34,16.2,17.2,13.76,24.3,8.51,34.0,16.04,20,16th and 17th grade,74.53,70.09,31.84,4.0,2.5661260490038655
76378480,76378588,0.5974025974025974,0.6918238993710691,4.902424242424242,4.888405797101449,1011,3.933333333333333,5.0,4.902424242424242,0.18327597399721576,4.866666666666666,5.0,5.0,63.7,11.2,8.4,11.37,13.1,9.36,10.666666666666666,8.34,20,8th and 9th grade,100.52,99.12,41.17,2.5,6.639221966328442
76384080,76384128,0.7575757575757576,0.8057553956834532,4.930357142857143,4.934666666666667,983,4.533333333333333,5.0,4.930357142857143,0.13013680007858613,4.933333333333334,5.0,5.0,63.59,10.7,8.4,11.77,13.6,7.62,7.428571428571429,7.99,17,7th and 8th grade,100.42,96.05,40.45,2.8,3.888728356702817
76380728,76380908,0.6818181818181818,0.6910569105691057,4.926274509803922,4.924444444444445,702,4.466666666666667,5.0,4.926274509803922,0.1210081958707631,4.933333333333334,5.0,5.0,72.76,10.1,6.9,8.58,8.3,8.38,7.7142857142857135,8.11,19,8th and 9th grade,107.13,101.3,45.58,2.4,4.031914026735114
76384218,76384269,0.7160493827160493,0.6870748299319728,4.935313531353136,4.9252873563218404,1148,4.333333333333333,5.0,4.9353135313531356,0.12426432863158203,4.933333333333334,5.0,5.0,46.47,12.4,10.8,13.8,17.4,9.55,10.5,9.29,30,10th and 11th grade,88.21,87.55,37.06,3.4,3.9141155762229793
76383839,76384284,0.7169811320754716,0.775,4.83225806451613,4.871929824561403,739,3.6,5.0,4.83225806451613,0.3965939698121435,4.933333333333334,5.0,5.0,65.32,11.5,7.7,11.3,11.1,9.29,8.142857142857142,9.24,26,7th and 8th grade,102.15,96.03,41.42,2.8,3.707525740269711
76378670,76378715,0.5952380952380952,0.6493506493506493,4.980000000000001,4.9733333333333345,465,4.733333333333333,5.0,4.98,0.04472135954999573,5.0,5.0,5.0,69.82,11.2,8.1,10.79,12.6,9.52,11.75,9.51,10,9th and 10th grade,104.17,101.54,41.91,2.3,0.9100823320229559
76378383,76378734,0.6338028169014085,0.7746478873239436,4.930303030303031,4.928888888888888,976,4.4,5.0,4.93030303030303,0.15239140558400194,5.0,5.0,5.0,20.25,19.0,18.8,15.79,23.8,9.99,16.75,19.45,34,18th and 19th grade,64.36,60.02,29.07,4.9,5.153059850090296
76380693,76380922,0.7560975609756098,0.8,4.945555555555557,4.931182795698925,402,4.133333333333334,5.0,4.945555555555557,0.14220051917739598,5.0,5.0,5.0,63.73,11.9,10.4,6.04,11.7,8.52,15.0,11.36,11,11th and 12th grade,98.05,97.16,48.15,2.5,-0.5315442626606739
76378708,76378750,0.6547619047619048,0.6272189349112426,4.966666666666668,4.944242424242425,1000,3.333333333333333,5.0,4.966666666666667,0.1648962573296973,5.0,5.0,5.0,68.7,11.0,8.5,6.73,10.6,8.78,11.6,9.82,22,8th and 9th grade,103.05,100.64,48.3,2.4,4.451872354876592
76383859,76384297,0.6376811594202898,0.7248322147651006,4.933333333333334,4.909090909090909,937,3.4,5.0,4.933333333333333,0.23517789431685254,5.0,5.0,5.0,38.15,14.6,14.0,13.12,16.1,9.04,12.8,14.15,32,13th and 14th grade,79.85,74.69,36.28,4.2,2.848908440956458
76380850,76380929,0.6333333333333333,0.6617647058823529,4.935555555555556,4.917543859649124,1093,3.2666666666666666,5.0,4.935555555555556,0.26000000000000006,5.0,5.0,5.0,24.27,14.1,15.2,15.43,20.0,9.23,15.5,11.7,26,15th and 16th grade,70.91,66.53,32.93,5.0,5.461837713875301
76380934,76380982,0.7142857142857143,0.7898089171974523,4.955376344086021,4.9357575757575765,867,4.266666666666667,5.0,4.955376344086022,0.10700275486138018,4.983333333333333,5.0,5.0,62.01,10.5,11.1,8.94,13.0,8.37,11.4,12.96,26,10th and 11th grade,96.32,94.57,42.76,2.6,0.9015746683505457
