,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.567175094039846
vocab_coverage,0.5915180512983016
ave_readability,4.928104772461589
ave_readability2,4.917613919047578
length,5080.221
min,4.021561632976615
max,4.999128022195799
mean,4.928104772461587
std,0.16677740352247675
q1,4.94367816091954
median,4.993103448275862
q3,4.9979389615537055
FRE,68.38679
SMOGI,8.674299999999999
FKGL,8.3234
CLI,13.50199
ARI,19.5275
DCRS,3.8793699999999998
LWF,7.990356967174221
GFI,8.32067
DW,17.359
TS,9.69
FH,103.06748000000002
SP,67.32009000000001
GP,21.13132
CF,2.642
NERF,0.774852216639659
