,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34543628003000765,0.032326176606219996,0.4633142022050529,0.21533153884524156
vocab_coverage,0.41887899241028703,0.07135301624166532,0.2992240932512128,0.14404708186066786
ave_readability,0.33726761990629056,0.1452541323559838,0.39811555027811246,0.3117297679927737
ave_readability2,0.2196627428678989,0.11463234436649539,0.3807836255534156,0.28619641887566927
length,0.20331662964776673,0.056111852808006554,-0.10961042000319673,-0.18950461815503974
min,0.20307709654470923,0.10691918088844313,0.3322817432633934,0.22943036235103956
max,,,,
mean,0.3372707730903035,0.14517440646422733,0.39809176963380216,0.31171124793742266
std,0.30543621283748684,0.1514802399838029,0.4117388317388318,0.3116095133209361
q1,0.2849419062433839,0.10435940320922431,0.2532414519551768,0.1991955122947559
median,0.03599713465958862,-0.013828764111056139,0.02339674930168387,0.02445673242145703
q3,,,,
FRE,0.42753735788760905,0.07111870609865872,0.28116906482277004,0.1939358089836444
SMOGI,0.2650309906890334,0.06780222024833282,0.3283373305863627,0.2191441603895118
FKGL,0.38717821908219846,0.07177723681600512,0.2654760815307376,0.17545150897027595
CLI,0.47234194457037826,0.05839750542973789,0.25814230429545226,0.1633807639814903
ARI,0.35220688125458754,0.025870335412644142,0.21367200257995786,0.12058013162675305
DCRS,0.32478908740171236,0.0631761113651378,0.20649161379770012,0.13200185214110866
LWF,0.30135965094685147,0.07940047095622464,0.33108139204104836,0.15266036101252756
GFI,0.3477660214736181,0.08523394177503286,0.255521313441264,0.12135476455672799
DW,0.26142344985080795,0.11832340374469467,0.27949506730099705,0.12505611901207306
TS,0.27896932618583836,0.04789518082271578,0.16007759283482298,0.11109588902093982
FH,0.4146209079598439,0.07030903092237745,0.2758576827459845,0.1883951726805561
SP,0.42417886122915494,0.07180807550945881,0.285016843013819,0.1888235261294089
GP,0.44354979855085125,0.044331334143020144,0.23108573428323848,0.1390488243181726
CF,0.4471954692668192,0.09386954175867059,0.3034376103053784,0.20359572714952595
NERF,0.24811129485562874,-0.0032010577484386698,0.33964531564531564,0.2199053319053319
