,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.737645624932536
vocab_coverage,0.7844181610756583
ave_readability,4.9274480296978345
ave_readability2,4.912735479698955
length,834.675
min,4.0064
max,5.0
mean,4.9274480296978345
std,0.17769601823780454
q1,4.952100000000001
median,5.0
q3,5.0
FRE,61.01639
SMOGI,11.0059
FKGL,9.258799999999999
CLI,10.18971
ARI,11.499
DCRS,8.384360000000001
LWF,10.24740603008103
GFI,10.218560000000002
DW,22.747
TS,9.541
FH,97.97514
SP,94.80281
GP,42.443239999999996
CF,2.7604
NERF,2.9424653738399713
