,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6754418220562624
vocab_coverage,0.7124834310247675
ave_readability,4.909237278701207
ave_readability2,4.8839088816180976
length,7229.538
min,3.6375999999999995
max,5.0
mean,4.909237278701207
std,0.20412838916118364
q1,4.919483333333334
median,4.999066666666668
q3,5.0
FRE,32.05203
SMOGI,12.929799999999998
FKGL,13.224599999999999
CLI,18.30413
ARI,19.3496
DCRS,5.92947
LWF,10.93103175990676
GFI,8.82845
DW,68.295
TS,12.172
FH,77.52260000000001
SP,73.65173
GP,28.76421
CF,4.3551
NERF,2.9886138642268705
