,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6732693597605364
vocab_coverage,0.7136871200380374
ave_readability,4.937678871611731
ave_readability2,4.927158582041325
length,3832.244
min,4.251788877081119
max,4.998724760892667
mean,4.937678871611731
std,0.14822663212448756
q1,4.963567127169678
median,4.997272405242651
q3,4.998299681190223
FRE,45.770199999999996
SMOGI,8.5306
FKGL,14.2529
CLI,14.34786
ARI,29.8519
DCRS,5.38341
LWF,8.92379981248021
GFI,12.95164
DW,12.528
TS,10.375
FH,83.68927000000001
SP,68.84782000000001
GP,25.12857
CF,2.8193
NERF,-1.0070517028073802
