QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.6699029126213593,0.7379679144385026,4.931400966183575,4.909178743961353,1226,4.0,5.0,4.931400966183575,0.13945881804831717,4.933333333333334,5.0,5.0,48.5,14.2,10.0,13.27,14.3,9.67,11.285714285714286,12.0,45,9th and 10th grade,90.25,85.29,38.07,3.6,7.1259807723294735
76378408,76378435,0.6666666666666666,0.7551020408163265,4.876126126126125,4.853763440860215,1331,2.933333333333333,5.0,4.876126126126126,0.32788430310756334,4.933333333333334,5.0,5.0,57.16,11.7,8.8,13.27,13.1,9.25,8.857142857142858,10.45,40,8th and 9th grade,96.46,95.73,38.17,2.8,5.972797254915729
76378340,76378439,0.5454545454545454,0.6587677725118484,4.89736211031175,4.840000000000001,1855,2.933333333333333,5.0,4.897362110311751,0.2610029462302491,4.933333333333334,5.0,5.0,18.35,14.4,15.4,23.84,24.1,10.98,16.75,13.49,57,23rd and 24th grade,67.46,64.87,19.73,5.2,6.604089340965476
76378344,76378496,0.6637931034482759,0.6919642857142857,4.859784946236559,4.8121212121212125,1581,3.1333333333333333,5.0,4.859784946236559,0.2919394245164642,4.8,5.0,5.0,41.26,12.8,10.8,16.17,16.4,10.7,13.6,9.91,58,10th and 11th grade,85.48,78.91,33.14,4.1,7.301193659752482
76378323,76378505,0.6330275229357798,0.758364312267658,4.854901960784314,4.862801932367151,1971,3.733333333333333,5.0,4.854901960784314,0.34126660968375483,4.933333333333334,5.0,5.0,35.78,13.8,12.9,18.97,19.7,9.4,10.714285714285714,11.72,53,11th and 12th grade,79.97,73.52,28.06,4.5,6.292195216825618
76378468,76378523,0.762589928057554,0.8365758754863813,4.875348837209302,4.78364779874214,1561,2.933333333333333,5.0,4.875348837209303,0.31277216740016733,4.866666666666666,5.0,5.0,49.86,13.8,11.6,11.6,13.2,9.69,13.4,13.99,72,13th and 14th grade,89.11,86.21,39.46,3.4,5.622374879042836
76378419,76378558,0.7007874015748031,0.7372013651877133,4.852777777777778,4.838951310861424,2452,2.933333333333333,5.0,4.852777777777778,0.3026503299555813,4.866666666666666,5.0,5.0,45.22,10.4,9.2,20.5,20.9,8.88,6.625,6.28,48,20th and 21st grade,89.46,86.75,25.79,3.1,7.683664707762119
76383950,76384028,0.6666666666666666,0.7431192660550459,4.91769547325103,4.851960784313726,1410,3.2666666666666666,5.0,4.91769547325103,0.227534433080789,4.933333333333334,5.0,5.0,45.96,12.2,11.0,11.95,12.7,8.53,11.5,11.27,44,11th and 12th grade,87.7,86.07,39.94,3.5,4.644205046294857
76380624,76380646,0.6850393700787402,0.743801652892562,4.837037037037036,4.730268199233717,1457,2.2,5.0,4.837037037037037,0.3860034044641154,4.783333333333333,5.0,5.0,43.63,13.7,11.9,12.94,13.3,9.89,10.428571428571429,13.4,61,13th and 14th grade,85.36,83.28,38.03,3.7,5.859010337347357
76380600,76380785,0.5714285714285714,0.7074235807860262,4.930452674897119,4.874509803921568,1539,4.0,5.0,4.930452674897119,0.1604774709403219,4.933333333333334,5.0,5.0,47.18,13.6,10.6,15.37,14.7,10.11,12.833333333333334,12.63,64,10th and 11th grade,88.93,84.51,34.67,3.7,7.002110094449323
76378487,76378586,0.6909090909090909,0.7539936102236422,4.919209039548023,4.886842105263159,1662,3.6666666666666665,5.0,4.919209039548023,0.25428185422324795,5.0,5.0,5.0,68.33,10.4,10.7,6.22,12.8,8.4,10.5,13.31,39,10th and 11th grade,100.18,96.69,46.54,2.3,2.7238488530737763
76380579,76380826,0.6804123711340206,0.7198067632850241,4.889038031319911,4.810101010101009,1293,3.066666666666667,5.0,4.88903803131991,0.2758606072208544,4.933333333333334,5.0,5.0,42.65,14.3,14.4,11.73,18.3,10.28,15.75,14.98,48,14th and 15th grade,81.87,78.85,37.24,3.7,4.891993521108745
76383957,76384041,0.6754385964912281,0.7605042016806722,4.866298342541436,4.721212121212122,1385,2.2,5.0,4.866298342541437,0.3946541009876249,4.933333333333334,5.0,5.0,52.09,12.7,10.7,11.08,11.8,9.62,11.0,12.71,56,10th and 11th grade,91.36,88.18,41.08,3.4,4.984000765335658
76383902,76384109,0.6388888888888888,0.6626984126984127,4.899800399201597,4.871497584541063,1946,3.8,5.0,4.899800399201597,0.25916332460862573,5.0,5.0,5.0,23.73,17.5,19.6,15.39,27.6,9.91,22.0,18.76,44,19th and 20th grade,65.37,60.75,27.98,4.5,4.347860850042947
76378480,76378588,0.7272727272727273,0.7705382436260623,4.918627450980392,4.840151515151518,2152,3.6666666666666665,5.0,4.9186274509803924,0.19066296041759623,4.933333333333334,5.0,5.0,48.98,15.7,14.0,11.67,18.5,8.4,21.666666666666668,15.66,55,15th and 16th grade,85.73,82.84,37.08,3.3,5.144174755239543
76384080,76384128,0.7373737373737373,0.7839195979899497,4.894017094017094,4.831963470319636,1220,2.7333333333333334,5.0,4.894017094017094,0.2805033931237703,4.866666666666666,5.0,5.0,51.78,13.3,10.9,11.95,13.1,8.51,14.2,11.68,37,11th and 12th grade,91.05,88.2,39.51,3.3,3.3295245946420113
76380728,76380908,0.6274509803921569,0.6763285024154589,4.884761904761904,4.7906249999999995,1333,2.2,5.0,4.8847619047619055,0.32871494450241995,4.933333333333334,5.0,5.0,33.0,12.3,11.9,16.23,15.0,10.33,7.111111111111111,11.38,51,11th and 12th grade,79.68,75.95,33.2,4.3,4.936129594301805
76384218,76384269,0.6581196581196581,0.7605633802816901,4.89567901234568,4.832900432900433,1920,2.2666666666666666,5.0,4.8956790123456795,0.2864962381913417,4.933333333333334,5.0,5.0,47.01,14.0,12.7,12.83,17.5,9.24,21.0,13.41,53,12th and 13th grade,86.26,80.71,36.88,3.8,6.306486825682764
76383839,76384284,0.78125,0.8490566037735849,4.82222222222222,4.766222222222222,1059,1.6666666666666667,5.0,4.822222222222223,0.4758531433034456,4.866666666666666,5.0,5.0,27.86,16.5,15.9,15.15,18.5,10.54,16.5,17.1,47,16th and 17th grade,72.01,70.89,32.26,4.4,6.595266011307277
76378670,76378715,0.5833333333333334,0.6428571428571429,4.914814814814815,4.858503401360545,1070,3.066666666666667,5.0,4.9148148148148145,0.29811939129778875,5.0,5.0,5.0,54.12,12.8,10.0,14.61,15.1,9.82,8.714285714285714,12.03,40,9th and 10th grade,93.4,88.18,35.42,3.4,4.80528434086118
76378383,76378734,0.7155172413793104,0.8519736842105263,4.934877734877735,4.901204819277109,1994,4.2,5.0,4.934877734877735,0.1343501130487344,4.933333333333334,5.0,5.0,52.33,12.6,12.7,13.0,18.5,8.1,12.2,14.22,50,12th and 13th grade,89.1,83.39,35.5,3.4,3.3996545280847057
76380693,76380922,0.7215189873417721,0.8702928870292888,4.9342948717948705,4.890058479532164,1367,4.4,5.0,4.934294871794872,0.13579118669471119,4.933333333333334,5.0,5.0,45.53,16.3,15.3,9.24,17.9,8.78,17.5,16.77,44,17th and 18th grade,82.26,77.29,40.01,3.5,-0.48851260847460587
76378708,76378750,0.6796116504854369,0.6576923076923077,4.922417153996101,4.867619047619049,1610,2.933333333333333,5.0,4.9224171539961015,0.27366143977069796,4.933333333333334,5.0,5.0,45.9,14.7,13.1,10.57,16.2,8.83,16.0,13.73,47,13th and 14th grade,85.14,81.26,40.31,3.7,4.594189444778049
76383859,76384297,0.6666666666666666,0.7156862745098039,4.8812785388127855,4.816666666666666,1328,3.4,5.0,4.8812785388127855,0.2618855816580232,4.866666666666666,5.0,5.0,37.74,16.1,14.2,14.22,17.7,10.51,17.5,15.99,55,17th and 18th grade,79.44,73.64,34.34,4.3,5.9201382097386315
76380850,76380929,0.671875,0.7711864406779662,4.943345543345543,4.879069767441862,2385,3.2666666666666666,5.0,4.9433455433455435,0.18738578084888569,4.933333333333334,5.0,5.0,41.29,14.7,12.8,13.34,16.2,8.47,13.8,12.41,68,12th and 13th grade,83.01,76.42,36.51,4.2,5.745534401888303
76380934,76380982,0.6475409836065574,0.709375,4.916886930983846,4.846413502109705,1945,2.933333333333333,5.0,4.916886930983846,0.25816798827862875,4.933333333333334,5.0,5.0,65.62,11.1,7.6,12.0,12.3,8.27,10.333333333333334,8.63,47,7th and 8th grade,102.46,98.56,40.33,2.5,4.476588327859119
76378592,76378760,0.6987951807228916,0.7888888888888889,4.910798122065727,4.83448275862069,1075,3.1333333333333333,5.0,4.910798122065729,0.2356208890925316,4.933333333333334,5.0,5.0,41.74,16.3,14.7,11.33,17.2,9.4,17.75,16.95,38,16th and 17th grade,80.95,76.62,38.09,3.8,4.215159069720407
76383945,76384326,0.7962962962962963,0.7293233082706767,4.8415807560137445,4.734883720930234,1734,2.2,5.0,4.841580756013745,0.3722176175554731,4.816666666666666,5.0,5.0,38.49,17.8,16.0,13.94,21.1,9.01,14.2,16.69,50,13th and 14th grade,77.69,72.98,32.56,3.9,6.83413403152846
76380868,76380985,0.6837606837606838,0.7163461538461539,4.857270693512305,4.772500000000002,1553,2.7333333333333334,5.0,4.857270693512304,0.34894280596274035,4.866666666666666,5.0,5.0,25.08,16.0,14.9,19.43,20.7,10.95,15.0,16.24,61,14th and 15th grade,71.73,68.94,26.59,4.8,8.307476555185909
76380847,76380988,0.7191780821917808,0.8333333333333334,4.861481481481482,4.82920634920635,1966,3.333333333333333,5.0,4.861481481481481,0.2898379472486219,4.866666666666666,5.0,5.0,33.58,17.5,15.8,12.49,17.3,9.13,18.75,17.37,74,17th and 18th grade,75.26,72.57,36.22,4.2,4.714849519347073
76384211,76384348,0.7821782178217822,0.8549222797927462,4.9147474747474735,4.858227848101267,1266,3.4,5.0,4.914747474747475,0.20001183517680854,4.933333333333334,5.0,5.0,30.2,16.5,15.0,14.68,16.8,10.09,18.25,16.48,57,16th and 17th grade,74.36,71.21,33.85,4.5,4.8625771214285685
76378628,76378769,0.7303370786516854,0.766497461928934,4.903752759381898,4.817435897435898,1245,2.933333333333333,5.0,4.903752759381899,0.2712232949755956,4.933333333333334,5.0,5.0,49.86,12.7,11.6,12.76,15.0,8.8,12.6,12.27,39,12th and 13th grade,89.11,88.16,37.47,3.3,4.4127030068530395
76378370,76378800,0.6666666666666666,0.7049180327868853,4.8677002583979325,4.866666666666667,998,3.6666666666666665,5.0,4.867700258397933,0.35393537477566506,5.0,5.0,5.0,76.66,8.8,7.5,7.72,9.5,7.36,8.0,9.08,17,7th and 8th grade,108.54,103.42,46.4,2.1,1.6673949964660348
76380967,76381059,0.7386363636363636,0.803921568627451,4.888617886178861,4.826666666666668,1239,3.6666666666666665,5.0,4.888617886178862,0.28150868770235193,4.933333333333334,5.0,5.0,51.18,14.0,11.1,10.97,13.0,8.65,13.8,12.4,42,13th and 14th grade,90.44,84.35,41.01,3.6,3.7829124322559613
76384091,76384360,0.7542372881355932,0.8286604361370716,4.9,4.88239700374532,1862,3.333333333333333,5.0,4.9,0.2903200204700226,5.0,5.0,5.0,63.32,11.4,10.6,10.04,13.4,7.42,12.6,11.75,42,10th and 11th grade,97.65,93.45,41.38,2.7,3.1587855408243435
76378322,76378801,0.7264957264957265,0.7963525835866262,4.892875318066158,4.784313725490199,1968,2.2,5.0,4.892875318066158,0.2717863388232654,4.933333333333334,5.0,5.0,54.76,13.6,11.8,10.04,14.9,8.0,10.666666666666666,13.51,50,13th and 14th grade,91.54,88.06,41.34,3.2,1.4684914671605602
76378721,76378829,0.6862745098039216,0.7681159420289855,4.860377358490567,4.855238095238096,441,3.6666666666666665,5.0,4.860377358490567,0.2814351215138828,4.8,5.0,5.0,39.67,14.1,13.4,13.35,15.6,10.96,15.166666666666666,15.0,25,14th and 15th grade,81.38,75.49,36.4,4.2,3.175512727941297
76378661,76378944,0.6352941176470588,0.7185185185185186,4.889347079037801,4.811111111111111,915,2.6666666666666665,5.0,4.8893470790378,0.36838231521905745,5.0,5.0,5.0,40.18,15.9,13.2,15.55,16.9,10.72,24.0,16.11,38,15th and 16th grade,81.89,75.43,32.86,4.2,6.531033100773698
76384304,76384361,0.8181818181818182,0.8313253012048193,4.876328502415459,4.807407407407408,1572,2.466666666666667,5.0,4.8763285024154595,0.3092994933289562,4.933333333333334,5.0,5.0,52.09,11.8,10.7,12.82,13.1,8.72,11.0,11.35,55,10th and 11th grade,91.36,85.26,38.18,3.6,4.66976202307692
76378577,76378945,0.8245614035087719,0.8740458015267175,4.914410480349345,4.852482269503548,1558,3.533333333333333,5.0,4.914410480349345,0.193567103477271,4.933333333333334,5.0,5.0,57.91,12.2,10.6,10.56,12.8,8.11,13.0,11.6,46,12th and 13th grade,94.71,90.52,41.02,3.1,3.8056269271452363
76384270,76384365,0.7,0.7185185185185186,4.913402061855671,4.873015873015874,1771,3.333333333333333,5.0,4.9134020618556695,0.20310644734563735,4.866666666666666,5.0,5.0,53.31,14.1,10.3,12.0,14.3,8.38,14.4,10.36,39,9th and 10th grade,92.58,87.3,39.44,3.4,6.139783257718667
76378347,76378974,0.7311827956989247,0.8416289592760181,4.886738351254481,4.849019607843138,1315,3.8666666666666663,5.0,4.886738351254481,0.251596564327717,4.933333333333334,5.0,5.0,60.14,11.6,9.7,10.5,12.2,8.22,10.5,11.16,39,10th and 11th grade,96.95,92.77,41.93,3.0,4.17013052825159
76384255,76384399,0.7592592592592593,0.8060344827586207,4.924420677361854,4.860162601626017,1412,2.933333333333333,5.0,4.924420677361854,0.2541471941465995,5.0,5.0,5.0,55.44,11.8,9.5,10.67,11.4,8.35,10.666666666666666,9.58,41,9th and 10th grade,94.72,91.82,42.4,3.1,4.884400615529003
76384220,76384400,0.5675675675675675,0.6341463414634146,4.948351648351648,4.920634920634923,1999,4.266666666666667,5.0,4.9483516483516485,0.1218261272517752,5.0,5.0,5.0,37.81,13.0,12.1,17.46,18.9,10.21,15.0,10.49,56,12th and 13th grade,82.01,81.15,30.84,3.9,8.008340674249773
