,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6254322036464576
vocab_coverage,0.5998320397274397
ave_readability,4.902475007140798
ave_readability2,4.901044093467181
length,6941.246
min,3.7158
max,5.0
mean,4.902475007140799
std,0.20798383168456303
q1,4.902216666666667
median,4.992233333333334
q3,4.999733333333333
FRE,8.85018
SMOGI,11.287799999999999
FKGL,16.6417
CLI,26.605510000000002
ARI,30.2995
DCRS,6.347210000000001
LWF,10.499211179687187
GFI,8.937209999999999
DW,49.648
TS,15.269
FH,60.84722
SP,56.317479999999996
GP,13.37569
CF,5.149799999999999
NERF,3.1504631021106957
