,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.0183021658140424,0.0430661015538707,0.00734871422921651,0.011068292578148033
vocab_coverage,0.024151644244843163,0.05844893437870582,0.022247509802243513,0.029729820389592838
ave_readability,0.0030365155359448528,0.0035381546699778865,0.002096697307365663,0.0022942698038488757
ave_readability2,0.002703156850151045,0.0033589819365847885,0.002376767806135296,0.0023960572148067263
length,6521982.479,6956971.053,52223243.122,44165404.289
min,0.61456,0.8068189964157706,0.4354711111111111,0.4692266666666667
max,0.0,0.0,0.0,0.0
mean,0.003036515535944849,0.0035381546699778865,0.0020966973073656674,0.0022942698038488814
std,0.012484671683655933,0.017975583095998844,0.007886300446703005,0.009126785279579032
q1,0.007689166666666674,0.007736335125448034,0.006647777777777792,0.007355277777777794
median,0.0008122222222222214,0.00042674731182795695,0.0001999999999999999,0.0001288888888888888
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0,0.0
FRE,1866.7714674000001,2304.9543199,7083.888058200002,7500.3022886
SMOGI,26.415239999999997,61.85378000000001,10.400450000000001,11.1961
FKGL,73.08042,59.03482000000001,143.02308000000002,151.33095
CLI,145.3586796,199.05134239999998,393.1828193,426.5880725
ARI,219.31806,222.17128,321.89535,353.6627700000001
DCRS,10.0381601,9.533164300000001,19.159197499999998,21.0266212
LWF,56.92100286916948,56.45665412173089,31.838407816200288,28.123918530380703
GFI,56.081009300000005,31.282035700000005,12.6292268,13.9656171
DW,1086.572,1335.572,2785.441,2431.139
TS,72.759,36.182,40.34,38.133
FH,1069.1789931,1201.4244149,3572.147109,3778.9687595000005
SP,1113.7845249999998,1218.3118075000002,3845.9221493,4060.1194911000002
GP,442.67833830000006,542.2180357,1099.4038588999997,1190.5121487000001
CF,5.320819999999999,8.46301,23.325090000000003,24.58828
NERF,15.600087092714562,36.61644056659991,30.66941177467059,66.98343201798878
