,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.018337569528319053,0.04418227211181292,0.040553364088238356,0.05843083934014044
vocab_coverage,0.024152223614605516,0.059231041773348765,0.04761984388382933,0.07196277116589633
ave_readability,0.003076107040735197,0.0035466836140851917,0.004100910862537583,0.0034945547452764313
ave_readability2,0.0027710614040652964,0.0033795287682829777,0.002701196171246257,0.002328064994643504
length,6513301.835,6940694.505,23446318.878,18378774.191
min,0.61456,0.8068189964157706,0.5700139470013947,0.6956057887812463
max,0.0,0.0,0.00046490004649000507,0.00010046645138141351
mean,0.0030761070407351893,0.003546683614085185,0.004100910862537585,0.003494554745276425
std,0.012562704955549989,0.018143152663355484,0.014167623357851024,0.017039262041155023
q1,0.008373055555555562,0.00804015456989248,0.015357973035797312,0.009638201172108602
median,0.0008077777777777769,0.00042226702508960573,0.001129707112970711,0.0006051907666547056
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0005212691771269182,0.00017820834828369777
FRE,1868.4335942000002,2320.9553353,9846.8383772,10774.763890799999
SMOGI,26.415239999999997,61.85378000000001,24.07065,36.77707000000001
FKGL,73.18932000000001,59.18826,1057.7139399999999,1089.9003599999999
CLI,145.9805387,200.2858873,327.5912401,436.6864875
ARI,219.92665999999997,223.08426,1897.30984,1960.08827
DCRS,10.2064293,9.4360725,49.875785699999994,55.9656947
LWF,56.808746358307964,56.4255585549628,62.0348559264786,68.21005344174918
GFI,56.13865749999999,31.2654219,1052.5338919,1071.1662662
DW,1063.903,1293.141,745.021,928.688
TS,73.696,38.077,253.217,364.379
FH,1070.3802044000001,1208.5059562,8351.6737123,8863.798196599999
SP,1115.7039180000002,1229.2866849,7941.318467899999,8360.1748201
GP,444.38662000000005,545.5799554000001,1632.1012073000002,1904.8430461999997
CF,5.3488999999999995,8.54011,7.60167,10.72931
NERF,15.28471641180302,35.71669351802086,293.5313992505073,296.00947268462045
