,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.3450504079144552,0.03094254027998341,0.40777005157369417,0.19448443875213942
vocab_coverage,0.4199226359741189,0.07198090573776134,0.4466230085579709,0.23590662006511948
ave_readability,0.33827851780341955,0.1452879806640835,0.5057735801638441,0.38646258577057047
ave_readability2,0.21944058795314192,0.11410425752124538,0.43815424392010427,0.34475893845855515
length,0.20331662964776673,0.056111852808006554,0.49641523529592474,0.2706839985442438
min,0.20307709654470923,0.10691918088844313,0.3917327495820489,0.288701132853881
max,,,,
mean,0.3383419404725801,0.14544075439426735,0.5057764937918253,0.3864808001326994
std,0.30535487074565165,0.15157766038381082,0.4967147087147088,0.36919897030656723
q1,0.29145193828718663,0.1148896576343288,0.394229550910058,0.318494484619542
median,0.027866504874792353,-0.015696223648179367,-0.004499130357843716,
q3,,,,
FRE,0.4282009898911455,0.06959353240696191,0.4716992410421185,0.25316266455859704
SMOGI,0.27287966468790914,0.06846316923830792,0.44178734833563865,0.2738265842741816
FKGL,0.38896037537418976,0.07120945069306102,0.4012026528544597,0.18743622025496964
CLI,0.47146653414147327,0.05670515972709852,0.5261371185535244,0.2996226926729003
ARI,0.35236401460925065,0.026217578700512202,0.3858428072392914,0.14506960289275975
DCRS,0.32443750469863275,0.0638928867949718,0.2677077309793687,0.06815884006807245
LWF,0.30152245235199554,0.0810746058862822,0.3349194497531013,0.21176279078887514
GFI,0.34985664921615955,0.08778955422318455,0.43192788929376646,0.22810188823534508
DW,0.26142344985080795,0.11832340374469467,0.5378914918094994,0.3780725003960674
TS,0.25494350819441075,0.023463157803080968,0.28930478478587945,0.1951897931915217
FH,0.41563003306937685,0.06905899292731232,0.4459988145336636,0.22725028999854854
SP,0.4214112169572195,0.06937592979083329,0.4626925816365978,0.2415949014064016
GP,0.4423406423474144,0.043945850093266715,0.48038437390487637,0.2473532782081752
CF,0.44682283822148566,0.09172654084679377,0.5291213277904947,0.3208636434166004
NERF,0.2517496805049295,-0.0035767961884283885,0.36722787122787126,0.10133078933078933
