,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.01830216581404244,0.0430661015538707,0.048026756314488904,0.05911705681759967
vocab_coverage,0.024151644244843142,0.05844893437870576,0.06012199486791944,0.08147125068922326
ave_readability,0.0030365155359448563,0.003538154669977891,0.009779336231863464,0.010592549397651802
ave_readability2,0.002703156850151043,0.0033589819365847824,0.009908879056880548,0.010759700623857064
length,6521982.479,6956971.053,3834749.195,4283541.407
min,0.6145599999999991,0.8068189964157702,0.4114381191072925,0.5035459976105144
max,0.0,0.0,0.007265783506385011,0.0072735961768219835
mean,0.0030365155359448576,0.003538154669977914,0.009779336231863433,0.010592549397651772
std,0.012484671683655949,0.01797558309599885,0.010552724079199263,0.013523479078799258
q1,0.007689166666666653,0.007736335125448015,0.013170724430123024,0.014399940262843611
median,0.0008122222222222201,0.00042674731182795706,0.007492540875999521,0.007540023894862604
q3,7.583333333333307e-05,4.6202956989246985e-05,0.007275331185105622,0.007293906810035843
FRE,1866.7714674000013,2304.9543198999995,42474094.433509134,42474415.52894026
SMOGI,26.41524,61.853780000000036,17.08301,18.884359999999983
FKGL,73.08042000000002,59.03482000000005,826143.3464299984,826143.9403699994
CLI,145.35867960000004,199.0513423999998,1014943.5209445991,1014980.1230548003
ARI,219.31805999999986,222.17128,814286.1957899998,814312.9883100007
DCRS,10.03816010000001,9.5331643,11.829590800000004,13.457842200000009
LWF,56.92100286916952,56.456654121730956,45.04263785449605,42.259692071085524
GFI,56.081009300000005,31.282035700000012,39.4852889,37.05008480000001
DW,1086.572,1335.572,556.607,709.936
TS,72.759,36.182,53.013,45.215
FH,1069.1789930999994,1201.4244148999994,21363022.656332824,21363152.930977095
SP,1113.7845249999998,1218.3118075000007,23033091.927960422,23033235.14339152
GP,442.67833829999984,542.2180356999993,2844520.628283604,2844614.439761299
CF,5.320820000000008,8.463009999999995,142074.14719999977,142075.0830600001
NERF,15.600087092714574,36.61644056659991,591.1516677080704,603.2747492604924
