,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6873061094696461
vocab_coverage,0.775025634688204
ave_readability,4.88713893818315
ave_readability2,4.811941419653104
length,2028.985
min,2.992666666666666
max,5.0
mean,4.887138938183151
std,0.2741510924350244
q1,4.912183333333334
median,5.0
q3,5.0
FRE,39.77767000000001
SMOGI,15.176
FKGL,13.8222
CLI,13.460529999999999
ARI,16.729
DCRS,9.508799999999999
LWF,17.119065945165946
GFI,15.010779999999999
DW,74.579
TS,14.372
FH,80.97773000000001
SP,77.55329
GP,35.56777
CF,3.9591000000000003
NERF,6.119418309469603
