,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.018337569528319053,0.04418227211181292,0.04186071258400337,0.047201451508985484
vocab_coverage,0.024152223614605516,0.059231041773348765,0.05200893147985268,0.06119448478244668
ave_readability,0.003076107040735197,0.003546683614085189,0.004062093291617945,0.004463769899099584
ave_readability2,0.0027710614040652947,0.00337952876828298,0.0019084913122364283,0.0025275910057394675
length,6513301.835,6940694.505,28759496.716,24460963.072
min,0.61456,0.8068189964157706,0.46127222818952146,0.5325038954812417
max,0.0,0.0,0.00047738393603055304,0.0009588876902792769
mean,0.0030761070407351893,0.003546683614085185,0.004062093291617938,0.004463769899099578
std,0.012562704955549989,0.018143152663355484,0.012236974322148994,0.014143780694944189
q1,0.008373055555555562,0.00804015456989248,0.010930301945339541,0.010626273522713652
median,0.0008077777777777769,0.00042226702508960573,0.003457453156701277,0.0038882895840824648
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0005072204320324623,0.000985257101761957
FRE,1868.4335942000002,2320.9553353,12125.297515700002,85426.98077329998
SMOGI,26.415239999999997,61.85378000000001,23.570480000000003,25.76453
FKGL,73.18932000000001,59.18826,361.38774,1786.2876600000002
CLI,145.9805387,200.2858873,1306.157592,10558.610311700002
ARI,219.92665999999997,223.08426,1250.9962000000003,7931.36852
DCRS,10.2064293,9.4360725,66.2777292,66.0047831
LWF,56.808746358307964,56.4255585549628,53.418598968075464,53.023559839520765
GFI,56.13865749999999,31.2654219,149.1752267,152.67121649999999
DW,1063.903,1293.141,601.638,726.736
TS,73.696,38.077,118.729,454.89
FH,1070.3802044000001,1208.5059562,6605.7092193,43460.1145166
SP,1115.7039180000002,1229.2866849,6560.772094999998,46304.05612729999
GP,444.38662000000005,545.5799554000001,3718.0051056,29586.068525299997
CF,5.3488999999999995,8.54011,29.88946,274.99261000000007
NERF,15.28471641180302,35.71669351802086,94.2305684661275,93.27009208077884
