QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.6530612244897959,0.7011494252873564,4.9595628415300546,4.933333333333334,534,4.0,5.0,4.959562841530055,0.13565126644219722,5.0,5.0,5.0,52.19,13.4,10.7,11.89,16.0,11.02,13.5,12.86,20,10th and 11th grade,91.46,86.19,39.79,3.5,5.7354718335334915
76378408,76378435,0.7307692307692307,0.75,4.881045751633987,4.9298245614035086,917,3.6666666666666665,5.0,4.881045751633987,0.337571417568306,5.0,5.0,5.0,74.79,10.0,6.2,11.65,12.7,8.48,5.555555555555555,7.67,17,5th and 6th grade,109.17,104.32,41.11,2.1,5.487918314130583
76378340,76378439,0.5568181818181818,0.609271523178808,4.908695652173914,4.892517006802721,1443,4.0,5.0,4.908695652173913,0.2247311633445567,5.0,5.0,5.0,14.56,13.6,14.8,27.14,25.9,10.55,10.714285714285714,12.22,38,10th and 11th grade,66.15,63.0,14.86,5.4,5.558070538285312
76378344,76378496,0.5877192982456141,0.6164383561643836,4.905185185185185,4.9054726368159205,1482,3.8666666666666663,5.0,4.905185185185186,0.1820716029124411,4.866666666666666,5.0,5.0,43.49,11.2,9.9,15.93,17.3,10.8,6.375,7.58,40,10th and 11th grade,87.72,82.82,33.92,3.6,6.372150274281134
76378323,76378505,0.6307692307692307,0.6833333333333333,4.907859078590787,4.921951219512195,1233,3.8,5.0,4.9078590785907865,0.2880981872678308,5.0,5.0,5.0,56.15,10.1,9.2,18.15,18.2,8.57,8.833333333333334,8.16,24,8th and 9th grade,95.44,90.65,29.72,3.2,4.525808563958382
76378468,76378523,0.7570093457943925,0.8113207547169812,4.956976744186044,4.948971193415638,1140,4.466666666666667,5.0,4.956976744186047,0.09848546621743913,5.0,5.0,5.0,79.7,8.1,6.3,7.94,8.7,7.2,8.0,8.34,23,7th and 8th grade,111.6,107.98,46.61,1.8,3.090374398101691
76378419,76378558,0.6739130434782609,0.714975845410628,4.849549549549549,4.867741935483872,1943,3.8666666666666663,5.0,4.8495495495495495,0.29101888132316067,4.866666666666666,5.0,5.0,38.58,9.8,9.7,24.08,25.3,9.2,5.0,5.54,32,9th and 10th grade,85.29,83.29,19.02,3.0,7.009113980119746
76383950,76384028,0.7666666666666667,0.7518248175182481,4.941100323624597,4.927536231884058,919,3.466666666666667,5.0,4.941100323624596,0.22028734218803026,4.966666666666667,5.0,5.0,59.9,9.8,7.7,11.99,12.5,7.11,7.7142857142857135,6.8,18,7th and 8th grade,99.21,96.79,40.32,2.6,1.8210179323350744
76380624,76380646,0.7349397590361446,0.7228915662650602,4.9494444444444445,4.9551912568306005,904,4.666666666666667,5.0,4.9494444444444445,0.10146914631709965,5.0,5.0,5.0,66.13,10.2,7.4,10.14,9.0,7.47,5.444444444444445,7.84,20,7th and 8th grade,102.97,100.58,43.54,2.4,3.0286069488253817
76380600,76380785,0.6567164179104478,0.7320261437908496,4.947023809523809,4.8909090909090915,956,3.066666666666667,5.0,4.947023809523809,0.19923233483205074,4.933333333333334,5.0,5.0,62.75,9.9,6.6,10.69,11.0,7.98,5.5,5.92,18,10th and 11th grade,102.07,95.85,41.96,2.3,2.7053381780705097
