,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34507167075991874,0.03123183480783321,0.4593076150392245,0.24441016134758492
vocab_coverage,0.414328533088654,0.06818781775954379,0.2702824763225923,0.12303732433390858
ave_readability,0.3358724194852468,0.14502302790510282,0.38387222908851537,0.3000420051469216
ave_readability2,0.2198541741619386,0.11431910477964688,0.3933595219346403,0.3112662034440829
length,0.20331662964776673,0.056111852808006554,-0.14907347333956297,-0.21904971193752487
min,0.20322299781888456,0.10666542282061989,0.33611398867092973,0.2569264960646521
max,,,,
mean,0.33589907497807514,0.14524605486694284,0.38389810521332535,0.30009949212039033
std,0.3064443939757234,0.15193795605750574,0.4252055932055932,0.3400788280788281
q1,0.2632039464305018,0.08522671190608404,0.2750450516011146,0.2235853108867268
median,0.0472737590370219,-0.011675591444616133,-0.013185552566128356,0.066623953416908
q3,,,,
FRE,0.4227804518706151,0.06854654549478764,0.27856433834231703,0.16293732626049698
SMOGI,0.2745559648838505,0.0719778733300166,0.31231040242212804,0.2143162872977233
FKGL,0.383874427016929,0.06611174185783393,0.259247943817459,0.14958179483960482
CLI,0.47317885785446057,0.05893689007466869,0.2263858122128711,0.1205647089207626
ARI,0.35444417602391154,0.029674275844258538,0.18811345631368392,0.07538498162305741
DCRS,0.3221225237527889,0.06335199932027592,0.15239786485913417,0.0902338629378916
LWF,0.30043190427389826,0.08523003716030537,0.3173858789130646,0.2260828201902495
GFI,0.346821189436018,0.08984716406590001,0.22100317416363097,0.11116206616574187
DW,0.2623649857166233,0.11865496370294666,0.2567083642337349,0.1148488614735386
TS,0.2852983600314456,0.04520060228262305,0.1543853350822668,0.11298151514936997
FH,0.40966112842751395,0.06495005931607893,0.27316057239298,0.1571998403105756
SP,0.4253785339567737,0.07317023458399322,0.2764048271263645,0.16530852153437903
GP,0.4461324467925549,0.04701173826078944,0.22432643191721804,0.11694792751815611
CF,0.44689430074791964,0.09384103699781103,0.2962593330577196,0.18953358160263495
NERF,0.24541893615519295,-0.00913147669295934,0.3293816213816214,0.21028969828969832
