,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10679073723178904,0.18665249136806233,0.08911530801556136,0.127616118588193
vocab_coverage,0.12215125573122956,0.21842114425362819,0.1256088841069395,0.18960383100691772
ave_readability,0.03948288983909208,0.04481306366263341,0.02871748235549507,0.032212119775481565
ave_readability2,0.03993179100768941,0.04521567778093988,0.030921501643916244,0.03157833613481362
length,1235.017,1386.241,1423.798,1181.798
min,0.569,0.6967741935483871,0.45519999999999994,0.5059999999999999
max,0.0,0.0,0.0,0.0
mean,0.03948288983909211,0.04481306366263345,0.02871748235549506,0.03221211977548164
std,0.08605892419422001,0.1053691839848429,0.06349369818927997,0.07363339720918102
q1,0.053633333333333345,0.05762768817204301,0.039016666666666686,0.04030000000000001
median,0.004799999999999992,0.0030241935483870924,0.0006999999999999984,0.0006999999999999984
q3,0.000549999999999999,0.00038642473118279434,0.0,0.0
FRE,26.08137,32.255199999999995,20.978150000000003,24.20425
SMOGI,3.5101999999999998,6.1996,2.2706999999999997,2.3889000000000005
FKGL,4.597899999999999,5.4825,3.6591,3.9217999999999997
CLI,7.29367,9.412049999999999,5.84282,7.298139999999999
ARI,8.839900000000002,10.8549,6.8523,8.1114
DCRS,2.10219,2.1403499999999998,1.6356199999999999,1.81106
LWF,5.444408100731771,6.100095073300826,4.91714256747332,5.06261367691943
GFI,3.6550199999999995,4.14356,2.72994,3.1859399999999996
DW,19.856,23.558,27.391,22.599
TS,4.427,4.46,3.242,3.33
FH,19.34288,23.72074,15.55199,17.47834
SP,19.803549999999998,24.13538,15.777599999999998,17.91608
GP,12.64064,15.725439999999999,10.11767,12.360079999999998
CF,1.4307,1.89,1.1036,1.255
NERF,2.820566356759218,4.482677909896884,2.2639477050767667,3.1912847154790223
