,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10679073723178904,0.18665249136806233,0.08616694124977826,0.1392330628735477
vocab_coverage,0.12215125573122956,0.21842114425362819,0.11512237308889384,0.1924498787753362
ave_readability,0.03948288983909219,0.04481306366263346,0.028376240967051377,0.03350963504488455
ave_readability2,0.03993179100768942,0.04521567778093984,0.027649747001721094,0.031590070619418
length,1235.017,1386.241,980.324,1156.368
min,0.569,0.6967741935483871,0.40186666666666665,0.5037999999999999
max,0.0,0.0,0.0,0.0
mean,0.03948288983909211,0.04481306366263345,0.028376240967051387,0.03350963504488458
std,0.08605892419422001,0.1053691839848429,0.06295321549213193,0.07801773545392632
q1,0.053633333333333345,0.05762768817204301,0.0379666666666667,0.042083333333333334
median,0.004799999999999992,0.0030241935483870924,0.0008666666666666645,0.0007666666666666648
q3,0.000549999999999999,0.00038642473118279434,6.666666666666643e-05,6.666666666666643e-05
FRE,26.08137,32.255199999999995,20.23314,24.900230000000004
SMOGI,3.5101999999999998,6.1996,2.1945,2.6565
FKGL,4.597899999999999,5.4825,3.5221,4.1196
CLI,7.29367,9.412049999999999,5.63228,7.54397
ARI,8.839900000000002,10.8549,6.5676000000000005,8.621
DCRS,2.10219,2.1403499999999998,1.35966,1.7086199999999998
LWF,5.444408100731771,6.100095073300826,4.8581324459471,4.851497243352997
GFI,3.6550199999999995,4.14356,2.57417,3.1086499999999995
DW,19.856,23.558,15.797,17.887
TS,4.427,4.46,3.215,3.344
FH,19.34288,23.72074,14.96637,18.12898
SP,19.803549999999998,24.13538,15.217879999999997,18.536150000000003
GP,12.64064,15.725439999999999,9.743120000000001,12.86533
CF,1.4307,1.89,1.0886,1.313
NERF,2.820566356759218,4.482677909896884,2.353179549607357,3.755540733582425
