QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7457627118644068,0.7528089887640449,4.8965174129353235,4.907575757575757,592,4.0,5.0,4.8965174129353235,0.1985965959067398,4.866666666666666,5.0,5.0,46.33,11.2,8.8,11.56,12.0,9.69,5.2,8.18,19,11th and 12th grade,90.58,89.52,40.63,2.7,5.858439848833772
76378408,76378435,0.7383177570093458,0.7898550724637681,4.8831804281345565,4.932489451476794,1712,3.6666666666666665,5.0,4.8831804281345565,0.3284853527583521,5.0,5.0,5.0,85.89,7.2,4.0,6.07,7.3,7.35,8.166666666666666,5.25,25,6th and 7th grade,117.82,117.12,50.42,0.9,4.758763838472028
76378340,76378439,0.5098039215686274,0.5029585798816568,4.890196078431374,4.887179487179487,1730,4.0,5.0,4.890196078431373,0.24980115121436086,4.933333333333334,5.0,5.0,-53.67,11.4,22.4,46.11,40.9,13.19,4.133333333333334,11.14,49,12th and 13th grade,20.11,14.39,-18.13,8.1,7.8039011375290315
76378344,76378496,0.5538461538461539,0.5420560747663551,4.913793103448276,4.898148148148149,856,3.8666666666666663,5.0,4.913793103448276,0.19885057471264375,4.933333333333334,5.0,5.0,25.35,12.8,12.7,20.23,23.2,12.41,9.0,8.6,30,12th and 13th grade,74.5,70.83,26.7,4.6,8.441737645757318
76378323,76378505,0.5436893203883495,0.5942622950819673,4.917011494252873,4.9125000000000005,4198,3.8,5.0,4.917011494252874,0.22691052606933473,4.933333333333334,5.0,5.0,13.2,11.2,13.3,29.48,28.9,10.51,4.0,6.94,90,10th and 11th grade,67.29,61.87,10.46,4.7,9.77324595702631
76378468,76378523,0.7888198757763976,0.8,4.953968253968254,4.931758530183727,1601,3.6,5.0,4.953968253968254,0.1343779937352182,5.0,5.0,5.0,72.7,9.7,9.0,6.27,10.1,7.52,13.25,10.81,33,9th and 10th grade,104.56,103.41,47.96,2.0,4.803293097641134
76378419,76378558,0.6233766233766234,0.6451612903225806,4.873333333333334,4.89513888888889,2668,3.066666666666667,5.0,4.873333333333333,0.3017725412735007,4.933333333333334,5.0,5.0,55.3,9.4,7.4,18.4,18.4,8.83,4.333333333333333,5.1,54,8th and 9th grade,97.09,92.32,28.93,2.3,9.663829521518652
76383950,76384028,0.7540983606557377,0.7560975609756098,4.966666666666668,4.96231884057971,625,4.666666666666667,5.0,4.966666666666668,0.07258661863112974,4.933333333333334,5.0,5.0,37.0,12.6,12.4,15.48,18.2,9.76,12.75,10.98,17,12th and 13th grade,81.19,77.63,33.91,4.2,6.149584525682762
76380624,76380646,0.6530612244897959,0.5705882352941176,4.904467353951892,4.895833333333335,1247,3.733333333333333,5.0,4.90446735395189,0.18211113168503879,4.866666666666666,5.0,5.0,36.05,10.8,10.7,17.2,15.5,9.96,5.7272727272727275,8.31,35,10th and 11th grade,82.74,76.89,31.58,4.0,7.114949997589619
76380600,76380785,0.6396396396396397,0.5621890547263682,4.9244837758112086,4.896713615023475,1905,3.066666666666667,5.0,4.924483775811209,0.21625296101735061,4.933333333333334,5.0,5.0,29.82,11.4,11.0,23.16,21.9,10.0,4.133333333333334,8.05,46,10th and 11th grade,78.99,74.55,20.88,3.7,9.518897987290213
76378487,76378586,0.6567164179104478,0.5633802816901409,4.984166666666667,4.975757575757576,721,4.666666666666667,5.0,4.984166666666667,0.056019589827527645,5.0,5.0,5.0,25.81,0.0,27.1,3.45,31.3,10.6,27.0,28.57,13,26th and 27th grade,57.44,57.63,38.0,2.5,5.410429066754364
76380579,76380826,0.7401574803149606,0.7603305785123967,4.9163043478260855,4.893617021276597,1322,3.066666666666667,5.0,4.916304347826087,0.2705779538534712,5.0,5.0,5.0,59.13,12.4,10.1,8.88,11.6,8.29,8.285714285714286,10.5,32,8th and 9th grade,95.93,95.04,44.23,2.8,6.126926218071546
76383957,76384041,0.6190476190476191,0.6184738955823293,4.925541125541125,4.912820512820513,1444,4.066666666666666,5.0,4.925541125541125,0.19941444612806486,4.933333333333334,5.0,5.0,47.28,10.9,10.5,15.25,15.0,9.56,6.222222222222222,9.37,44,10th and 11th grade,89.03,87.36,34.87,3.4,6.328916437759759
76383902,76384109,0.6083916083916084,0.5105263157894737,4.935395189003436,4.915708812260537,2902,3.8,5.0,4.935395189003437,0.19251839340218935,5.0,5.0,5.0,36.52,15.1,14.6,15.96,24.0,8.56,10.666666666666666,11.97,39,14th and 15th grade,78.22,72.07,30.94,4.4,5.570119158956521
76378480,76378588,0.45955882352941174,0.45365853658536587,4.88195937873357,4.876266666666665,4862,3.066666666666667,5.0,4.881959378733572,0.25919395309159443,4.866666666666666,5.0,5.0,56.76,12.1,8.9,13.74,15.7,9.56,8.0,8.41,89,8th and 9th grade,96.05,90.0,37.29,3.2,11.807914945776684
76384080,76384128,0.7164179104477612,0.6915887850467289,4.895495495495496,4.8999999999999995,728,3.066666666666667,5.0,4.895495495495496,0.25399654323179954,4.866666666666666,5.0,5.0,49.92,10.9,9.5,14.31,15.1,9.72,8.0,6.94,21,9th and 10th grade,91.68,89.45,36.38,3.2,6.588888400819663
76380728,76380908,0.5774647887323944,0.6071428571428571,4.8831372549019605,4.897560975609756,979,3.4,5.0,4.883137254901961,0.22864325778606848,4.866666666666666,5.0,5.0,18.62,10.7,13.2,25.38,25.3,10.54,6.166666666666667,7.99,27,10th and 11th grade,70.23,65.83,17.76,4.9,4.8221006898361605
