,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.01923120945428086,0.04920008362699844,0.01069503324977837,0.016182235945701208
vocab_coverage,0.02494080641447869,0.06593855626637725,0.02312800754056123,0.03238040701821514
ave_readability,0.0032237582061507754,0.003968844127423905,0.004585886733538095,0.005149135761616906
ave_readability2,0.002890991277583109,0.003638524698985834,0.0014352051693263662,0.0015336192864770736
length,6412160.559,6745870.413,36968477.689,28022371.526
min,0.61772,0.8086648745519713,0.39791111111111105,0.46820153486820154
max,0.0,0.0,0.0,0.0
mean,0.0032237582061507776,0.003968844127423908,0.004585886733538088,0.005149135761616902
std,0.013412679246462911,0.019694614548367913,0.011854326410390055,0.013986630345395224
q1,0.008024444444444452,0.008196684587813627,0.020838888888888903,0.021512067623178747
median,0.0008299999999999991,0.0004312275985663082,0.0032588888888888893,0.003266599933266601
q3,7.583333333333305e-05,4.6202956989246985e-05,1.777777777777765e-05,2.224446668891098e-05
FRE,1949.5437656999998,2549.258573,15619.743320799998,17397.5692597
SMOGI,29.754080000000002,65.1583,13.82804,16.58961
FKGL,76.41561999999999,69.27954000000001,1343.2319400000003,1408.2890000000002
CLI,153.5217744,215.7090098,840.8294242999999,1009.8448079000001
ARI,228.46711,255.77185,2756.787209999999,2992.1828600000003
DCRS,10.2112022,10.136417600000001,36.3102587,38.284991100000006
LWF,76.48972497433718,84.08694352595633,59.955051348941986,60.40274277330667
GFI,57.966722399999995,36.70289,1286.214411,1327.0130594999998
DW,1021.832,1201.86,1139.152,995.137
TS,74.364,43.513,1350.701,1373.009
FH,1115.6483747999998,1346.6917833999998,11915.204198799998,12919.624568599998
SP,1165.2845196,1363.4251758999997,11885.6187646,12919.367305699998
GP,465.576981,595.5166125999999,3281.0152662000005,3771.0727634
CF,5.57963,9.12344,24.22472,29.242519999999995
NERF,15.988437054056986,34.870741181402344,139.60326209640695,147.14097451955755
