,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10185658262541611,0.16584300870579277,0.13605748509467053,0.1757808494610092
vocab_coverage,0.118663481842824,0.19912542435224823,0.15491770480600947,0.21183002779265334
ave_readability,0.03745616328573085,0.041176404593612104,0.04057796051663264,0.04260082255129905
ave_readability2,0.03807432522229073,0.04203732214719756,0.03530223053605059,0.03745348975562943
length,1276.129,1466.969,3644.151,3037.097
min,0.5672,0.6954301075268816,0.5181372549019608,0.6104885057471264
max,0.0,0.0,0.0007002801120448183,0.0010775862068965498
mean,0.037456163285730835,0.04117640459361205,0.04057796051663273,0.042600822551299024
std,0.08254094395940272,0.09926191417493842,0.08917758939310187,0.10028493410933059
q1,0.05135000000000001,0.05426747311827956,0.05057773109243697,0.05102370689655169
median,0.004566666666666658,0.002856182795698921,0.004621848739495794,0.0033405172413793053
q3,0.000549999999999999,0.00038642473118279434,0.001242997198879551,0.0015445402298850548
FRE,25.16054,31.160550000000004,42.016580000000005,49.77314
SMOGI,3.313,6.1484,3.016,4.0534
FKGL,4.362799999999999,5.147,9.4442,11.0242
CLI,7.001,9.265039999999999,9.144560000000002,10.95558
ARI,8.4208,10.364799999999999,15.078399999999998,17.1553
DCRS,2.06011,2.0498499999999997,5.585850000000001,5.95215
LWF,4.858483572898549,5.358696627065745,5.110074706889606,5.523477921678773
GFI,3.5041499999999997,3.95489,7.84738,8.85709
DW,21.168,25.9,20.371,23.717
TS,4.221,4.208,6.641,7.223
FH,18.584090000000003,22.734090000000002,33.956,40.02025
SP,18.875400000000003,22.944209999999998,32.73897,38.396460000000005
GP,12.162709999999999,15.26731,18.36871,21.57941
CF,1.3781999999999999,1.8360999999999998,1.4718999999999998,1.8157999999999999
NERF,2.9508915586183626,5.081429560614864,7.829538380001897,9.098533765141445
