QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.6842105263157895,0.7412587412587412,4.965408805031447,4.947435897435897,862,4.2,5.0,4.965408805031447,0.10649007870066944,5.0,5.0,5.0,60.35,12.3,9.6,10.04,13.1,8.45,13.2,10.98,24,9th and 10th grade,97.15,94.33,42.75,2.9,3.5291118031558204
76378408,76378435,0.7247706422018348,0.7808988764044944,4.964028776978417,4.951054852320675,1004,3.6666666666666665,5.0,4.9640287769784175,0.13219325219723524,5.0,5.0,5.0,69.21,10.7,8.3,9.28,11.0,8.66,11.2,10.38,31,10th and 11th grade,103.56,102.19,44.14,2.3,4.6583129621945965
76378340,76378439,0.7476635514018691,0.7877358490566038,4.958882235528942,4.929166666666667,1321,4.133333333333334,5.0,4.958882235528943,0.12310823217856778,5.0,5.0,5.0,58.92,12.2,10.2,12.24,14.2,8.1,10.333333333333334,11.18,32,9th and 10th grade,95.73,94.64,38.61,2.8,3.0712156683321936
76378344,76378496,0.7321428571428571,0.7881773399014779,4.949583333333335,4.932520325203253,1100,3.066666666666667,5.0,4.949583333333333,0.17931147249037543,5.0,5.0,5.0,72.97,9.5,6.9,6.78,7.5,8.7,5.333333333333333,8.5,33,6th and 7th grade,107.34,106.02,48.67,2.0,4.745384768553295
76378323,76378505,0.6699029126213593,0.7692307692307693,4.96625,4.9342995169082124,1208,4.133333333333334,5.0,4.9662500000000005,0.09803538901845596,5.0,5.0,5.0,62.17,9.3,8.9,11.19,12.1,8.45,11.0,8.25,33,8th and 9th grade,98.99,98.2,40.94,2.6,4.393715428829573
76378468,76378523,0.756578947368421,0.8386243386243386,4.93627760252366,4.938550724637682,2142,3.733333333333333,5.0,4.93627760252366,0.1425510751333074,4.933333333333334,5.0,5.0,74.93,9.9,8.2,8.94,11.7,7.2,13.75,9.4,38,8th and 9th grade,106.81,101.39,43.76,2.2,4.117291643687501
76378419,76378558,0.6851851851851852,0.7391304347826086,4.919825708061001,4.903603603603605,1251,3.933333333333333,5.0,4.919825708061002,0.18123428621425203,4.933333333333334,5.0,5.0,68.67,9.3,6.4,11.7,10.5,8.72,5.0,7.84,37,8th and 9th grade,105.52,103.65,40.87,2.0,4.060295464559811
76383950,76384028,0.7054794520547946,0.782608695652174,4.954232804232801,4.939158576051781,1865,4.533333333333333,5.0,4.954232804232804,0.09975579768011429,4.933333333333334,5.0,5.0,61.87,10.8,9.1,10.09,11.7,7.76,7.7142857142857135,9.64,47,7th and 8th grade,98.68,97.06,42.73,2.7,4.199212542576738
76380624,76380646,0.6720430107526881,0.7322654462242563,4.908124999999998,4.893866666666664,2652,4.066666666666666,5.0,4.908125,0.1632672857532158,4.866666666666666,5.0,5.0,62.48,11.4,8.8,10.67,11.5,8.17,11.8,10.33,76,11th and 12th grade,99.3,94.26,41.91,2.9,5.747525836391148
76380600,76380785,0.7477477477477478,0.7865612648221344,4.939698492462312,4.907630522088355,1614,3.066666666666667,5.0,4.939698492462312,0.22020679229138612,5.0,5.0,5.0,46.51,14.0,12.9,13.0,16.9,8.0,15.5,12.44,36,12th and 13th grade,85.75,82.71,36.43,3.6,4.033681734806505
