,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10201803937205502,0.1686709889546142,0.06635362047015582,0.08000775206616455
vocab_coverage,0.1186890198694308,0.20082260317036527,0.10296450022690982,0.1183716224808779
ave_readability,0.037758884711687445,0.041143350177735544,0.03633150295820366,0.03805213040594572
ave_readability2,0.03861245925205576,0.042044679266076655,0.029258397869862316,0.029913253911433773
length,1273.513,1462.263,5746.031,5057.159
min,0.5672,0.6954301075268816,0.43066666666666664,0.47073333333333334
max,0.0,0.0,0.0,0.0
mean,0.03775888471168732,0.04114335017773544,0.03633150295820353,0.03805213040594561
std,0.08279392402477956,0.0997869864667308,0.07290133955938254,0.07828529979779132
q1,0.05351666666666667,0.053713037634408586,0.05901666666666671,0.06108333333333337
median,0.004499999999999992,0.0027889784946236525,0.002766666666666661,0.002433333333333329
q3,0.000549999999999999,0.00038642473118279434,0.0,0.0
FRE,25.183580000000003,31.30369,37.99452,40.3619
SMOGI,3.313,6.1484,1.7394,1.8763999999999998
FKGL,4.359,5.1512,5.221800000000001,5.5644
CLI,7.015149999999999,9.289390000000001,12.6462,13.327910000000001
ARI,8.4346,10.378,11.9692,12.6637
DCRS,2.0793900000000005,2.03261,3.5819099999999997,3.72335
LWF,4.829290442701806,5.348958475223981,3.799893652039769,3.7764675471290277
GFI,3.5047699999999997,3.95621,2.8714899999999997,3.02723
DW,20.715,25.203,32.164,29.475
TS,4.262,4.251,4.618,4.508
FH,18.578480000000003,22.808619999999998,26.551049999999996,28.24211
SP,18.885540000000002,23.07289,27.63367,29.343709999999998
GP,12.187899999999999,15.3064,20.949379999999998,22.105310000000003
CF,1.3822,1.8459,2.1089,2.2339
NERF,2.9116540551247816,4.998088325281693,4.1278869444709105,4.979548153730785
