,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.105188848635705,0.17996483123402338,0.27961776884550454,0.3049552092875101
vocab_coverage,0.12130723287609733,0.21408958060750038,0.2853091776867651,0.31354903332745293
ave_readability,0.039034363922590624,0.043869971161517904,0.04610090393936573,0.04652545474294128
ave_readability2,0.03955207194008639,0.04404586692490189,0.0432026852701719,0.042704155353674944
length,1243.833,1405.247,3295.11,3146.704
min,0.5690000000000002,0.6967741935483868,0.5343065693430659,0.5686150605581886
max,0.0,0.0,0.0007785888077858866,0.0009478672985781971
mean,0.03903436392259054,0.043869971161518126,0.04610090393936582,0.04652545474294117
std,0.08548517401786405,0.10432437059585731,0.09549441627581355,0.10041620191394297
q1,0.05329999999999995,0.05631720430107497,0.061897810218977965,0.06103212216956278
median,0.004699999999999992,0.0029233870967741893,0.012311435523114337,0.011585044760400192
q3,0.000549999999999999,0.00038642473118279434,0.0023357664233576597,0.0023433385992627643
FRE,25.87793000000001,32.89243999999999,97.94463999999985,117.51555999999995
SMOGI,3.5261999999999944,6.289999999999992,6.1680000000000055,6.854699999999998
FKGL,4.575000000000004,5.550599999999995,18.3762,21.286000000000023
CLI,7.205680000000005,9.599900000000005,31.52971999999998,38.43246000000004
ARI,8.727499999999992,11.171700000000007,34.92219999999999,40.15780000000002
DCRS,2.1043200000000004,2.1217800000000007,7.206940000000002,8.137830000000008
LWF,5.570793091579419,6.203120692147924,8.382912149340546,8.8548350918534
GFI,3.6518600000000014,4.145520000000004,10.586429999999998,11.13693999999999
DW,19.856,23.558,21.588,22.934
TS,4.398,4.517,10.332,11.285
FH,19.190160000000024,24.152259999999977,74.95495000000011,89.06088000000011
SP,19.596760000000007,24.477330000000016,63.178069999999934,75.86479000000003
GP,12.504700000000017,16.01782,50.267040000000044,60.9524100000001
CF,1.4206999999999992,1.9211999999999978,3.0151999999999934,3.900999999999994
NERF,2.8949988845152084,4.782030113744169,10.124143620780446,10.52047212607664
