,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.0183021658140424,0.0430661015538707,0.03811605393085506,0.04789444527711114
vocab_coverage,0.024151644244843163,0.05844893437870582,0.04647437246752972,0.06639683232413564
ave_readability,0.0030365155359448528,0.003538154669977887,0.0017776564780086087,0.0021201767070643373
ave_readability2,0.002703156850151049,0.0033589819365847855,0.0013602350651471388,0.0017563298487863204
length,6521982.479,6956971.053,9541268.674,7318469.98
min,0.61456,0.8068189964157706,0.4148860398860398,0.5076289150887221
max,0.0,0.0,0.0,0.0
mean,0.003036515535944849,0.0035381546699778865,0.0017776564780086102,0.0021201767070643408
std,0.012484671683655933,0.017975583095998844,0.008886614112614462,0.010775069381860907
q1,0.007689166666666674,0.007736335125448034,0.004946284425451094,0.004604322972490174
median,0.0008122222222222214,0.00042674731182795695,5.223171889838545e-05,0.0004382517565797315
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0,0.0001190901512444925
FRE,1866.7714674000001,2304.9543199,2942.0395957,3361.1179855
SMOGI,26.415239999999997,61.85378000000001,16.79723,20.7835
FKGL,73.08042,59.03482000000001,82.45895,98.20266999999998
CLI,145.3586796,199.05134239999998,353.4484508,389.77330279999995
ARI,219.31806,222.17128,267.91506000000004,311.91327
DCRS,10.0381601,9.533164300000001,21.1404029,22.2002455
LWF,56.92100286916948,56.45665412173089,40.65618400414103,43.642736911644576
GFI,56.081009300000005,31.282035700000005,23.562696,35.2059013
DW,1086.572,1335.572,608.887,722.494
TS,72.759,36.182,47.751,52.996
FH,1069.1789931,1201.4244149,1594.2678387,1827.6171396000002
SP,1113.7845249999998,1218.3118075000002,1269.6015619999998,1468.4366965
GP,442.67833830000006,542.2180357,922.5848198,1011.9690027
CF,5.320819999999999,8.46301,4.4656400000000005,5.3482899999999995
NERF,15.600087092714562,36.61644056659991,40.93677056463383,52.488137461570545
