,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34543628003000765,0.032326176606219996,0.3437478802606316,0.3123760099088222
vocab_coverage,0.41887899241028703,0.07135301624166532,0.30862518524836124,0.28950559328350645
ave_readability,0.33724600820179934,0.14508937618366166,0.3429104716598839,0.31505541834859974
ave_readability2,0.219730656474603,0.11467471377584806,0.3456554111248465,0.33520011897410007
length,0.20331662964776673,0.056111852808006554,0.04681529012867781,0.0634103438446793
min,0.20307709654470923,0.10691918088844313,0.29027410315305513,0.2865379241897412
max,,,,
mean,0.3372707730903035,0.14517440646422733,0.3429345687806539,0.31507296907218224
std,0.30543621283748684,0.1514802399838029,0.3284221922048666,0.30880470405453847
q1,0.2849419062433839,0.10435940320922431,0.21836187181370087,0.19045362227373583
median,0.03599713465958862,-0.013828764111056139,0.06566082509512161,-0.021827226855951096
q3,,,,
FRE,0.42753735788760905,0.07111870609865872,0.15669181717048689,0.12455301771670707
SMOGI,0.2650309906890334,0.06780222024833282,0.1964342097186655,0.18044314544581475
FKGL,0.38717821908219846,0.07177723681600512,0.13990755508104413,0.10041062597138932
CLI,0.47234194457037826,0.05839750542973789,0.17184687206273871,0.15276129106652425
ARI,0.35220688125458754,0.025870335412644142,0.08767521844609368,0.07418334111068489
DCRS,0.32478908740171236,0.0631761113651378,0.03870948743899099,0.0593243257988695
LWF,0.30135965094685147,0.07940047095622464,0.2952960794520685,0.19503645355916166
GFI,0.3477660214736181,0.08523394177503286,0.1574666197335928,0.11367566015378792
DW,0.26142344985080795,0.11832340374469467,0.3393493536578238,0.3137136981570306
TS,0.27896932618583836,0.04789518082271578,0.12572738871772918,0.12145785942811194
FH,0.4146209079598439,0.07030903092237745,0.14894786085576228,0.11526613671427677
SP,0.42417886122915494,0.07180807550945881,0.2100380007771034,0.1608529172878943
GP,0.44354979855085125,0.044331334143020144,0.18991988575142393,0.14923718915444217
CF,0.4471954692668192,0.09386954175867059,0.21964610978968854,0.19032145240195125
NERF,0.24811129485562874,-0.0032010577484386698,0.15927804027386694,0.13611130623872827
