,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34543628003000765,0.032326176606219996,0.48619834424728786,0.26852271799786065
vocab_coverage,0.41887899241028703,0.07135301624166532,0.5013230325422164,0.3143557651705459
ave_readability,0.3371870246669834,0.14510413519686846,0.516533284761278,0.3689637392323422
ave_readability2,0.21967661434551278,0.11446300538141535,0.37944868051041114,0.25656902007008964
length,0.20331662964776673,0.056111852808006554,0.4020788262211473,0.12540520001342884
min,0.20307709654470923,0.10691918088844313,0.3580941245334171,0.25278149474256445
max,,,,
mean,0.3372707730903035,0.14517440646422733,0.5165562623244717,0.3689335621088421
std,0.30543621283748684,0.1514802399838029,0.4875176955176956,0.3503457143457144
q1,0.2849419062433839,0.10435940320922431,0.44007644081968045,0.29156708410359833
median,0.03599713465958862,-0.013828764111056139,-0.004926066130087664,-0.004926066130087664
q3,,,,
FRE,0.42753735788760905,0.07111870609865872,0.5445652193089091,0.30774148024868564
SMOGI,0.2650309906890334,0.06780222024833282,0.4586477094011211,0.2970322779161747
FKGL,0.38717821908219846,0.07177723681600512,0.44469490469081513,0.2511516628277835
CLI,0.47234194457037826,0.05839750542973789,0.6006666204033427,0.34495351102455557
ARI,0.35220688125458754,0.025870335412644142,0.4655464669996056,0.23571857391963147
DCRS,0.32478908740171236,0.0631761113651378,0.31000295010381085,0.17819511355040069
LWF,0.30135965094685147,0.07940047095622464,0.3077867042576222,0.1904131321966683
GFI,0.3477660214736181,0.08523394177503286,0.40552310779273953,0.23628741808761922
DW,0.26142344985080795,0.11832340374469467,0.4794224461765932,0.22914634536384793
TS,0.27896932618583836,0.04789518082271578,0.29437868694234265,0.1684912477644999
FH,0.4146209079598439,0.07030903092237745,0.5105948124552885,0.2867719062496268
SP,0.42417886122915494,0.07180807550945881,0.5240017341349406,0.2932365231494111
GP,0.44354979855085125,0.044331334143020144,0.5560389845915674,0.3112173655414574
CF,0.4471954692668192,0.09386954175867059,0.5839318951089845,0.34821597439927426
NERF,0.24811129485562874,-0.0032010577484386698,0.3970367290367291,0.11870929070929072
