,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6650710582658192
vocab_coverage,0.7047737356916157
ave_readability,4.936574958338416
ave_readability2,4.928981845628439
length,3601.812
min,4.227125941872981
max,4.99935414424112
mean,4.936574958338416
std,0.15110083429117588
q1,4.958467886616433
median,4.997273053462505
q3,4.998887692859706
FRE,54.39011
SMOGI,8.799700000000001
FKGL,12.3551
CLI,10.92352
ARI,19.2898
DCRS,5.4867799999999995
LWF,8.725883450301666
GFI,11.962
DW,13.645
TS,10.411
FH,90.64077999999999
SP,73.78489
GP,30.92789
CF,2.5408
NERF,-1.0105475418694998
