,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34492325629408344,0.031927929940396484,0.2740831924396527,0.17677313609261305
vocab_coverage,0.4138761537795672,0.06800376101624171,0.3024755641559884,0.19193589726982607
ave_readability,0.33690994876202246,0.14494956546144644,0.40413529054170527,0.3521467049680896
ave_readability2,0.2210715618574134,0.11438865839115128,0.3000347684826085,0.2529953477221518
length,0.20331662964776673,0.056111852808006554,0.13437196289724918,0.1224831266450796
min,0.20322299781888456,0.10666542282061989,0.31922712503580564,0.25072461644895516
max,,,,
mean,0.3369197805045026,0.14504643351644225,0.40407234882647486,0.3521493244031272
std,0.3065574941034134,0.15204799501153363,0.4028528891833361,0.31223746856289686
q1,0.28843540888926944,0.11302068507465421,0.30299237877524193,0.20289766558862188
median,0.0411559627577507,-0.012796453755033271,0.009354989629156193,0.055377933310459156
q3,,,,
FRE,0.4263204037423694,0.06606834824555957,0.0841316757789705,-0.003835855853158726
SMOGI,0.2745559648838505,0.0719778733300166,0.1337274737128612,0.04847385771175258
FKGL,0.3860705819541602,0.0681144868945126,0.09928932402116597,-0.02373807042898468
CLI,0.47374020159782043,0.05842559715104642,0.07508172154694306,0.02162070542700601
ARI,0.3543345830642611,0.02989232123401479,0.03337266095408755,-0.0526878675325859
DCRS,0.32068443730248375,0.06385699616421191,-0.026560173960797538,-0.02557751396431449
LWF,0.29767466008309373,0.08503678363979279,0.20300155792049324,0.009066753945116983
GFI,0.3465328274040892,0.08937067256802553,0.13338008492945677,-0.003401599345447345
DW,0.2629023949241971,0.11901915383436493,0.05193474817236778,0.06237587665963262
TS,0.27388156630115695,0.05265711041633851,0.07532293398254977,-0.005970236641561304
FH,0.41311665711793893,0.0642251298613635,0.08455487242851698,-0.012209922527319226
SP,0.4252145247472004,0.07316043238436509,0.31475414005432406,0.1350401708735085
GP,0.44617708613284085,0.046709179479978755,0.3140179785231535,0.11970635404466941
CF,0.4466861193396672,0.0929726822441577,0.1326985116986375,0.03413146411595518
NERF,0.24555492029158502,-0.00926569085012412,-0.011412198657144167,-0.0019356480945428639
