QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7169811320754716,0.7482014388489209,4.889102564102564,4.8543859649122805,959,3.6666666666666665,5.0,4.889102564102564,0.22353236002049312,4.866666666666666,5.0,5.0,50.02,13.0,9.5,12.8,14.8,7.97,8.125,8.25,22,12th and 13th grade,91.78,85.5,38.89,3.5,3.7496578714624764
76378408,76378435,0.6428571428571429,0.775,4.875268817204301,4.938888888888888,1090,3.6666666666666665,5.0,4.8752688172043,0.32910955589335517,4.933333333333334,5.0,5.0,88.53,7.8,2.9,6.52,8.1,8.2,5.888888888888889,4.9,15,7th and 8th grade,120.48,116.53,49.07,0.6,2.200750547289136
76378340,76378439,0.6132075471698113,0.6812227074235808,4.943589743589745,4.908717948717949,1855,4.0,5.0,4.943589743589744,0.1731481334988116,5.0,5.0,5.0,48.09,11.6,10.2,18.84,18.4,8.66,10.571428571428571,9.76,36,10th and 11th grade,89.85,85.06,28.65,3.6,3.6190089419619866
76378344,76378496,0.6346153846153846,0.7065217391304348,4.960000000000001,4.965656565656567,2890,4.733333333333333,5.0,4.96,0.07739343376374767,5.0,5.0,5.0,73.68,8.3,6.6,7.59,7.3,8.17,7.083333333333334,7.64,14,7th and 8th grade,108.05,105.69,47.53,2.0,1.4726000867171392
76378323,76378505,0.6493506493506493,0.6845637583892618,4.867320261437909,4.904,1013,3.533333333333333,5.0,4.867320261437909,0.3271977939156785,4.933333333333334,5.0,5.0,36.66,10.3,10.5,20.38,19.5,10.72,5.4,7.65,28,10th and 11th grade,83.35,80.13,25.94,3.6,4.151035789226569
76378468,76378523,0.8333333333333334,0.9070110701107011,4.862218605912665,4.84,6935,3.066666666666667,5.0,4.862218605912665,0.3454773410837877,4.8,5.0,5.0,52.7,12.3,16.7,7.74,21.4,2.32,8.166666666666666,17.46,9,16th and 17th grade,84.47,81.34,39.61,2.6,-5.5967384973127
76378419,76378558,0.5714285714285714,0.6356050069541029,4.822319474835886,4.83030303030303,5948,3.8,5.0,4.822319474835886,0.36750817573121963,4.933333333333334,5.0,5.0,62.85,8.4,6.6,18.41,21.3,5.47,4.083333333333333,3.94,31,3rd and 4th grade,102.17,96.93,29.06,2.1,5.464233821122418
76383950,76384028,0.6724137931034483,0.717687074829932,4.940916271721958,4.915384615384616,2426,3.466666666666667,5.0,4.940916271721958,0.17057164009913978,4.933333333333334,5.0,5.0,44.64,12.7,11.5,15.77,18.2,7.96,16.75,10.33,48,11th and 12th grade,86.38,83.11,33.08,3.8,5.3176361054989805
76380624,76380646,0.48484848484848486,0.41437125748502995,4.91907514450867,4.8916666666666675,7841,4.466666666666667,5.0,4.91907514450867,0.1727845696804213,5.0,5.0,5.0,-95.26,12.2,28.0,47.72,48.1,1.08,4.8,3.09,15,47th and 48th grade,-9.19,-14.92,-21.49,10.1,8.900525620124892
76380600,76380785,0.8125,0.813376987839102,4.952731454859114,4.948717948717948,11750,4.6,5.0,4.952731454859114,0.09058648962051753,4.933333333333334,5.0,5.0,68.1,12.1,8.7,8.01,9.6,1.07,10.5,8.06,10,8th and 9th grade,102.44,97.37,45.93,2.6,-2.5622877946011107
76378487,76378586,0.0,0.0,,NaN,2486,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76380579,76380826,0.8409090909090909,0.8133333333333334,4.92896174863388,4.9009009009009015,450,3.6666666666666665,5.0,4.92896174863388,0.23712573116425928,5.0,5.0,5.0,61.36,11.7,9.2,9.57,11.4,9.09,11.875,10.61,14,11th and 12th grade,98.17,94.71,43.9,2.9,3.783883712510293
76383957,76384041,0.5714285714285714,0.572039942938659,4.841396508728179,4.820833333333334,5101,3.4,5.0,4.84139650872818,0.37459329070748426,4.933333333333334,5.0,5.0,16.59,11.5,14.0,25.97,26.6,5.31,4.142857142857143,6.06,25,13th and 14th grade,68.19,64.07,17.09,5.2,1.2481300177913912
76383902,76384109,0.6041666666666666,0.5147058823529411,4.9387755102040805,4.915708812260538,4040,3.8,5.0,4.938775510204081,0.1851820136399864,5.0,5.0,5.0,25.83,16.0,16.7,17.76,26.8,7.95,10.5,12.63,40,12th and 13th grade,69.97,65.43,27.2,4.8,4.47718641374502
76378480,76378588,0.8181818181818182,0.9278846153846154,4.911341393206678,4.907407407407407,3590,4.4,5.0,4.911341393206679,0.1614079553449714,4.933333333333334,5.0,5.0,76.96,7.8,7.4,7.54,12.5,1.23,10.6,7.84,3,7th and 8th grade,108.85,109.04,46.87,1.7,-1.1904865531486957
76384080,76384128,0.7846153846153846,0.7976190476190477,4.916417910447761,4.943790849673203,1147,4.466666666666667,5.0,4.916417910447762,0.1494459790060384,4.883333333333333,5.0,5.0,64.81,10.6,7.9,10.78,13.4,7.02,10.333333333333334,6.77,15,10th and 11th grade,101.64,95.77,42.07,2.8,2.8630543781900037
76380728,76380908,0.7241379310344828,0.6481481481481481,4.931428571428572,4.93015873015873,311,4.333333333333333,5.0,4.931428571428571,0.16598773279264267,5.0,5.0,5.0,46.23,9.4,8.8,13.77,12.8,7.51,4.3,5.23,7,8th and 9th grade,90.48,84.67,36.97,3.1,2.0180274999999988
76384218,76384269,0.7029702970297029,0.6909871244635193,4.91304347826087,4.922065727699532,1831,4.266666666666667,5.0,4.913043478260869,0.17740456519535489,4.933333333333334,5.0,5.0,56.76,11.5,8.9,13.62,16.4,8.4,7.375,8.95,35,8th and 9th grade,96.05,90.14,37.42,3.2,5.193870904496553
76383839,76384284,0.8125,0.9125448028673835,4.73961770096884,4.817948717948718,8919,3.6,5.0,4.739617700968839,0.4586590430710938,4.8,5.0,5.0,49.15,12.0,11.9,11.49,15.0,1.3,9.0,8.89,13,11th and 12th grade,88.4,85.98,39.38,3.4,-3.387434857691404
76378670,76378715,0.7391304347826086,0.616580310880829,4.989355742296919,4.976470588235294,1262,4.733333333333333,5.0,4.989355742296919,0.03561721305378671,5.0,5.0,5.0,62.58,9.9,8.8,13.86,16.3,5.96,8.666666666666666,7.07,9,8th and 9th grade,99.4,94.28,36.63,2.9,-0.1266158810234157
76378383,76378734,0.6304347826086957,0.7625,4.94863387978142,4.926436781609196,496,4.0,5.0,4.948633879781421,0.156180943412798,5.0,5.0,5.0,55.27,12.5,11.6,11.38,17.3,9.6,15.833333333333334,13.56,11,11th and 12th grade,92.05,88.62,39.25,3.1,2.9347771291336615
76380693,76380922,0.2717391304347826,0.32075471698113206,4.984313725490196,4.7973333333333334,2724,3.1333333333333333,5.0,4.984313725490196,0.12383715168885427,5.0,5.0,5.0,48.55,8.4,24.5,-8.16,22.1,8.5,7.2857142857142865,29.43,20,8th and 9th grade,72.79,69.26,56.5,1.4,-20.04305951460396
76378708,76378750,0.5862068965517241,0.5,4.927184466019417,4.933333333333334,3905,4.2,5.0,4.927184466019417,0.21960283718963536,5.0,5.0,5.0,21.19,15.0,14.3,16.3,23.7,5.36,12.6,6.89,10,14th and 15th grade,70.32,64.31,32.92,5.3,1.694808948362299
76383859,76384297,0.8181818181818182,0.9042338709677419,4.940914158305462,4.944444444444445,6059,4.466666666666667,5.0,4.940914158305462,0.11442262576180641,4.933333333333334,5.0,5.0,61.33,7.8,7.2,10.12,8.3,0.64,4.6,4.04,7,7th and 8th grade,100.64,99.49,43.41,2.2,-2.029472570531906
76380850,76380929,0.6666666666666666,0.5590622182146078,4.945698924731183,4.926923076923076,8296,3.2666666666666666,5.0,4.945698924731183,0.18583665997965038,4.933333333333334,5.0,5.0,21.63,14.1,16.2,16.77,23.8,5.63,12.4,10.03,25,16th and 17th grade,68.26,63.64,30.38,5.1,4.037440648345813
76380934,76380982,0.6041666666666666,0.6533333333333333,4.959183673469388,4.95632183908046,537,4.733333333333333,5.0,4.959183673469388,0.07832292769863541,4.933333333333334,5.0,5.0,56.32,9.2,7.0,14.73,15.8,12.8,3.666666666666667,6.71,19,6th and 7th grade,98.11,95.74,34.38,1.7,5.183105240873768
76378592,76378760,0.7555555555555555,0.7717391304347826,4.964319248826291,4.9372549019607845,500,4.466666666666667,5.0,4.964319248826292,0.10896065299814954,5.0,5.0,5.0,71.14,10.8,7.6,7.54,9.8,8.38,10.5,8.68,11,7th and 8th grade,105.5,101.88,47.25,2.3,3.387108840832438
76383945,76384326,0.7638888888888888,0.6666666666666666,4.890570175438596,4.907878787878788,8839,3.8,5.0,4.890570175438597,0.2622231510428746,4.933333333333334,5.0,5.0,40.96,16.5,17.1,10.8,23.8,2.33,20.666666666666668,15.6,19,16th and 17th grade,77.67,77.54,35.8,3.2,-0.2304885343661307
