,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.105188848635705,0.17996483123402338,0.09416137877374661,0.1449272435818311
vocab_coverage,0.12130723287609733,0.21408958060750038,0.1238225796545919,0.20006205192815846
ave_readability,0.03903436392259054,0.043869971161517925,0.03241057069279735,0.03927392347900521
ave_readability2,0.039552071940086475,0.04404586692490189,0.029783419318490413,0.035203421307654324
length,1243.833,1405.247,891.109,1028.446
min,0.5690000000000002,0.6967741935483868,0.39402579769178453,0.49170068027210745
max,0.0,0.0,0.0,0.0
mean,0.03903436392259054,0.043869971161518126,0.03241057069279737,0.03927392347900552
std,0.08548517401786405,0.10432437059585731,0.06849083065260005,0.08431398334069616
q1,0.05329999999999995,0.05631720430107497,0.041259334691106424,0.04729591836734666
median,0.004699999999999992,0.0029233870967741893,0.003801765105227424,0.0037414965986394535
q3,0.000549999999999999,0.00038642473118279434,0.0,0.0015986394557823123
FRE,25.87793000000001,32.89243999999999,20.58667000000001,27.003929999999993
SMOGI,3.5261999999999944,6.289999999999992,2.463499999999997,2.975999999999998
FKGL,4.575000000000004,5.550599999999995,3.8576999999999986,4.5491000000000055
CLI,7.205680000000005,9.599900000000005,5.65273,8.02330000000001
ARI,8.727499999999992,11.171700000000007,6.640099999999997,8.996599999999992
DCRS,2.1043200000000004,2.1217800000000007,1.7997799999999993,2.236790000000002
LWF,5.570793091579419,6.203120692147924,4.8588380009828835,4.914038804591029
GFI,3.6518600000000014,4.145520000000004,2.8956800000000023,3.22562
DW,19.856,23.558,14.458,17.317
TS,4.398,4.517,3.695,3.842
FH,19.190160000000024,24.152259999999977,15.548330000000018,19.781259999999982
SP,19.596760000000007,24.477330000000016,15.651770000000008,20.067429999999995
GP,12.504700000000017,16.01782,9.541429999999997,13.367320000000007
CF,1.4206999999999992,1.9211999999999978,1.2173000000000005,1.5389999999999981
NERF,2.8949988845152084,4.782030113744169,3.08244689098226,4.691900724600285
