QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.30434782608695654,0.27906976744186046,4.784888888888889,4.885714285714286,8478,4.466666666666667,5.0,4.784888888888889,0.21843167137969804,4.466666666666667,4.933333333333334,4.933333333333334,-135.63,8.9,33.2,75.86,76.5,4.72,2.888888888888889,1.8,8,8th and 9th grade,-37.25,-44.67,-71.92,11.0,-1.0646906047513012
76378408,76378435,0.6666666666666666,0.6780735107731305,4.797632398753895,4.90909090909091,7262,3.6666666666666665,5.0,4.797632398753895,0.44463643527422914,4.933333333333334,5.0,5.0,62.44,9.3,6.8,15.92,19.1,0.94,4.9,3.69,8,6th and 7th grade,101.76,101.15,33.55,1.9,0.05138522206697971
76378340,76378439,0.2727272727272727,0.21428571428571427,4.733333333333333,4.733333333333333,2729,4.2,5.0,4.733333333333333,0.3771236166328253,4.6,5.0,5.0,-76.92,0.0,25.1,56.34,56.2,21.4,4.75,15.13,6,-1th and 0th grade,4.25,-5.34,-37.87,8.4,4.989150699333585
76378344,76378496,0.0,0.0,,NaN,2822,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76378323,76378505,0.0,0.0,,NaN,1854,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76378468,76378523,0.6,0.8500789058390321,4.96134488448845,4.9333333333333345,9745,3.6,5.0,4.961344884488448,0.12125242959113162,5.0,5.0,5.0,75.54,8.1,7.9,4.7,8.3,1.78,7.0,8.57,25,7th and 8th grade,107.42,107.22,51.07,1.8,0.3777553522018353
76378419,76378558,0.5393258426966292,0.51,4.953376906318083,4.8819444444444455,6049,3.8666666666666663,5.0,4.953376906318083,0.1541646437731522,4.933333333333334,5.0,5.0,-304.19,16.9,58.6,159.07,160.4,10.03,5.090909090909091,6.26,32,58th and 59th grade,-159.1,-174.57,-205.77,23.9,5.371437042778684
76383950,76384028,0.6172839506172839,0.6386740331491713,4.876124567474048,4.872000000000001,10062,3.466666666666667,5.0,4.876124567474049,0.2548471552244693,4.933333333333334,5.0,5.0,28.84,13.2,13.5,23.43,26.6,5.45,12.8,7.31,28,12th and 13th grade,75.5,70.28,20.67,4.8,4.418685101690427
76380624,76380646,0.7297297297297297,0.7798165137614679,4.910588235294117,4.920987654320988,3464,4.2,5.0,4.910588235294117,0.16154578174670423,4.933333333333334,5.0,5.0,13.31,11.6,13.2,27.33,26.6,7.46,4.85,5.66,9,26th and 27th grade,67.39,64.69,13.58,4.4,2.9144982606434295
76380600,76380785,0.5833333333333334,0.5454545454545454,4.892592592592593,4.8761904761904775,361,4.4,5.0,4.892592592592593,0.165012365999596,4.933333333333334,4.933333333333334,5.0,-10.76,12.2,16.3,30.15,33.2,16.43,6.75,12.4,12,12th and 13th grade,50.72,47.68,7.82,5.2,5.719433539208705
76378487,76378586,0.0,0.0,,NaN,2762,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76380579,76380826,0.6097560975609756,0.6386986301369864,4.876764968722074,4.816,7995,3.6666666666666665,5.0,4.876764968722074,0.1849551850656519,4.733333333333333,5.0,5.0,-63.15,13.1,24.0,60.28,59.3,4.98,10.428571428571429,3.65,16,23rd and 24th grade,13.09,4.14,-41.17,9.2,-0.0517944004901576
76383957,76384041,0.6129032258064516,0.6286972938955318,4.956956956956957,4.92280701754386,10425,4.2,5.0,4.956956956956958,0.09353613884232018,4.933333333333334,5.0,5.0,48.09,11.9,10.2,12.93,12.6,1.24,7.875,6.43,39,12th and 13th grade,89.85,87.93,38.57,3.4,0.2812929065417027
76383902,76384109,0.5970149253731343,0.5097493036211699,4.934426229508196,4.915000000000001,4937,3.8,5.0,4.934426229508197,0.19669095090551292,5.0,5.0,5.0,27.15,15.5,16.2,16.31,24.6,8.54,13.2,12.42,35,15th and 16th grade,71.3,70.13,30.06,4.5,5.121031019958252
76378480,76378588,0.8214285714285714,0.8881036513545347,4.941379310344827,4.9391304347826095,4925,4.6,5.0,4.941379310344828,0.09879967023560247,4.866666666666666,5.0,5.0,72.16,11.3,7.2,7.6,9.2,1.17,7.0,6.59,12,6th and 7th grade,106.52,104.33,47.49,2.1,-0.9181444211212288
76384080,76384128,0.7096774193548387,0.66,4.82334455667789,4.906060606060605,8061,4.533333333333333,5.0,4.82334455667789,0.1860283495197116,4.6,4.866666666666666,5.0,33.17,15.6,15.9,14.05,26.9,1.76,19.666666666666668,11.87,8,15th and 16th grade,74.85,71.99,33.45,4.2,1.9381222820157253
76380728,76380908,0.0,0.0,,NaN,2773,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
