,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10679073723178904,0.18665249136806233,0.0913373175466802,0.1288010969404079
vocab_coverage,0.12215125573122956,0.21842114425362819,0.13072826493107165,0.18953011940524206
ave_readability,0.039482889839092164,0.044813063662633414,0.029344224946313113,0.03281550659525394
ave_readability2,0.03993179100768946,0.04521567778093986,0.02895624818820293,0.030809258706507445
length,1235.017,1386.241,1279.783,1120.377
min,0.569,0.6967741935483871,0.4505333333333333,0.5054
max,0.0,0.0,0.0,0.0
mean,0.03948288983909211,0.04481306366263345,0.029344224946313172,0.03281550659525399
std,0.08605892419422001,0.1053691839848429,0.06496112952817035,0.07488606694776043
q1,0.053633333333333345,0.05762768817204301,0.039400000000000004,0.04216666666666667
median,0.004799999999999992,0.0030241935483870924,0.0006999999999999984,0.0006999999999999984
q3,0.000549999999999999,0.00038642473118279434,0.0,0.0
FRE,26.08137,32.255199999999995,21.411270000000002,24.71362
SMOGI,3.5101999999999998,6.1996,2.2500999999999998,2.3812999999999995
FKGL,4.597899999999999,5.4825,3.6998999999999995,4.0015
CLI,7.29367,9.412049999999999,6.06558,7.427029999999999
ARI,8.839900000000002,10.8549,7.017399999999999,8.173
DCRS,2.10219,2.1403499999999998,1.66627,1.83985
LWF,5.444408100731771,6.100095073300826,4.857444374000127,4.955036609542361
GFI,3.6550199999999995,4.14356,2.7564900000000003,3.2363299999999997
DW,19.856,23.558,23.249,19.829
TS,4.427,4.46,3.333,3.298
FH,19.34288,23.72074,15.803930000000001,17.809129999999996
SP,19.803549999999998,24.13538,16.14616,18.237959999999998
GP,12.64064,15.725439999999999,10.48426,12.53074
CF,1.4307,1.89,1.1173,1.2666000000000002
NERF,2.820566356759218,4.482677909896884,2.328086215195506,3.3056017385691048
