,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.019696745999443745,0.05212337341783414,0.017035221100697336,0.03586435277754556
vocab_coverage,0.025198822746388225,0.06805280772834504,0.027014753070259027,0.06040244194360593
ave_readability,0.0032762757680971882,0.00411116194965725,0.0018803718931439033,0.0026309042603833025
ave_readability2,0.0029313572491925185,0.0037886421481471977,0.0014615975157913784,0.0018775891003194813
length,6380466.209,6682526.463,4817215.508,5527741.512
min,0.61772,0.8086648745519713,0.42146666666666666,0.5361066666666667
max,0.0,0.0,0.0,0.0
mean,0.0032762757680971817,0.004111161949657249,0.0018803718931438955,0.002630904260383293
std,0.013598371867181644,0.020055609479792662,0.008651183232931195,0.01250897478824151
q1,0.008088333333333341,0.0084655017921147,0.005350000000000007,0.0061663888888888905
median,0.0008355555555555548,0.0004368279569892472,6.333333333333313e-05,5.44444444444443e-05
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0,0.0
FRE,1967.6600193,2505.8721935999997,1313.208273,1951.4012039000002
SMOGI,29.168599999999998,63.312180000000005,10.51853,12.625939999999998
FKGL,76.85335,68.41363,33.50709,46.38697
CLI,155.2700557,211.91829609999996,114.2463914,171.6916827
ARI,232.06499,247.81278999999998,131.41,201.79409000000004
DCRS,10.1583059,10.2816753,4.5902904,7.3601433
LWF,75.02402623015266,81.72409450528056,50.65431567531333,51.79966571376738
GFI,58.0087342,36.6918646,16.725882,20.1540631
DW,1021.832,1201.86,644.085,819.567
TS,76.643,42.422,26.989,29.116
FH,1125.2444166,1324.7850693999999,680.8271827,998.0336059
SP,1181.0125449000002,1343.1659404,721.1278235,1062.5442443
GP,471.67378879999995,586.1673748,334.62598460000004,500.9255067
CF,5.61927,8.94886,3.5083899999999995,5.18287
NERF,15.272458957847414,31.714532579413845,13.709542209973824,26.993808949990097
