,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.3450504079144552,0.03094254027998341,0.41960569835743045,0.3423451299407652
vocab_coverage,0.4199226359741189,0.07198090573776134,0.367563363375317,0.28211343550559514
ave_readability,0.33824858886679493,0.14533028865167272,0.2869466350306315,0.2397078749688478
ave_readability2,0.21939132303949357,0.11426976663091439,0.1634896758591587,0.13966872576153438
length,0.20331662964776673,0.056111852808006554,0.5131270230208478,0.3987039290828869
min,0.20307709654470923,0.10691918088844313,0.10804326713715633,0.09438703053675113
max,,,,
mean,0.3383419404725801,0.14544075439426735,0.28689848459985373,0.23967497848674765
std,0.30535487074565165,0.15157766038381082,0.254983538983539,0.20900401700401702
q1,0.29145193828718663,0.1148896576343288,0.2803235033207678,0.2607351971096688
median,0.027866504874792353,-0.015696223648179367,0.22045738753434208,0.22045738753434208
q3,,,,
FRE,0.4282009898911455,0.06959353240696191,0.29665324782322605,0.20141795816089084
SMOGI,0.27287966468790914,0.06846316923830792,0.27399195303476964,0.2281056440083309
FKGL,0.38896037537418976,0.07120945069306102,0.22958208649118794,0.1451350044812959
CLI,0.47146653414147327,0.05670515972709852,0.37647815163336434,0.27386289052315327
ARI,0.35236401460925065,0.026217578700512202,0.16976487521939645,0.0595151690429669
DCRS,0.32443750469863275,0.0638928867949718,0.151159121258745,0.09777924146793945
LWF,0.30152245235199554,0.0810746058862822,0.20944310545346417,0.200276481916578
GFI,0.34985664921615955,0.08778955422318455,0.30757396646995844,0.2239417148246523
DW,0.26142344985080795,0.11832340374469467,0.47919272920902833,0.4016355338469187
TS,0.25494350819441075,0.023463157803080968,0.12837487622778088,0.07746094385000489
FH,0.41563003306937685,0.06905899292731232,0.2647837153031267,0.17500567273253362
SP,0.4214112169572195,0.06937592979083329,0.27775508173629904,0.1870212577563599
GP,0.4423406423474144,0.043945850093266715,0.3044319463403321,0.20219181382878787
CF,0.44682283822148566,0.09172654084679377,0.3499965615491377,0.25998783459074826
NERF,0.2517496805049295,-0.0035767961884283885,0.1738831978831979,0.09007498207498207
